"ID","Ruler","Leader",,,,,,,,,,,,,,,
"Barren","Leader_vok","Leader_dook","Leader_dunbi","Leader_tehcu","Leader_ahaddi","Leader_gillasis","Leader_pao_la_sin","Leader_mengkja","Leader_esluoya","Leader_semeyawa",,,,,,,
"Castle","Leader_king","Leader_champion","Leader_tulia","Leader_monnirl","Leader_nayedien","Leader_hermanos","Leader_vurus","Leader_quivenly","Leader_aquanturas","Leader_savalorse",,,,,,,
"Death","Leader_avalkari","Leader_kadeloner","Leader_forgotten","Leader_laggail","Leader_emlai","Leader_mounniley","Leader_duvdup","Leader_rinini","Leader_negkoi","Leader_amupadeble",,,,,,,
"Desert","Leader_saltun","Leader_rodhinbar","Leader_kaweina","Leader_cheermaker","Leader_abubaba","Leader_entaguz","Leader_shumeyu","Leader_bajiniri","Leader_bajumiji","Leader_kumaisheh",,,,,,,
"Doll","Leader_doll_king","Leader_doll_prince","Leader_doll_princess","Leader_doll_queen","Leader_doll_maker","Leader_hus","Leader_verlindas","Leader_taladamun","Leader_tensimpho","leader_noxbox_201",,,,,,,
"Great","Leader_bavala","Leader_pasgelo","Leader_piaerlun","Leader_namena","Leader_vinellan","Leader_pakakvadi",,,,,,,,,,,
"Highland","Leader_garun","Leader_orsanoas","Leader_ozna","Leader_kadamyas","leader_entium","Leader_shumeyu","Leader_bej","Leader_hokem",,,,,,,,,
"Marsh","Leader_janiggys","Leader_motji'aa","Leader_lukukpo","Leader_boggod","Leader_lepgusd","Leader_kifid","Leader_mahunsijee","Leader_tuojesa","Leader_magussas",,,,,,,,
"Mountain","Leader_asgane","Leader_duskuksa","Leader_lohvroh","Leader_minara",,"Leader_oodoo","Leader_zakalanirn","Leader_sihaluir",,,,,,,,,
"Port","Leader_ehi",,"Leader_peva","Leader_motdasis","Leader_vanmaggas","Leader_kirnharl","Leader_kaddun","Leader_ikkanwi","Leader_shum",,,,,,,,
"Small","Leader_bigta","Leader_adaqua","Leader_yuawies","Leader_iri","Leader_buikuuh","Leader_nalana","Leader_olsilin","Leader_vasla","Leader_nadvalin",,,,,,,,
"Wood","Leader_pakakvadi","Leader_armina","Leader_bauqah","Leader_erkevhern","Leader_qeunci","Leader_dimwa","Leader_jumu","Leader_shedna","Leader_mashalue","Leader_kak",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Free",,"Leader_elmaliern","Leader_amunsa","Leader_parna","Leader_eona","Leader_filia","Leader_unsi_ed","Leader_sonagsha","Leader_entaguz","Leader_kapuni","Leader_dashisi","Leader_amgarn","Leader_oanogoht","Leader_remance","Leader_vraesier","Leader_nraesier","Leader_kutip'aeh"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Demon","Leader_tolhhunn",,"Leader_rulmtae","Leader_alkumsen",,,,"Leader_littleboy","Leader_littlegirl",,,,,,,,
"Holy","Leader_aarlindei","Leader_aunnial","Leader_niavesia","Leader_veno",,,,,,,,,,,,,
"Sea",,,,,,,,,,,,,,,,,
"Magic",,,,,,,,,,,,,,,,,
