"Object ID","ID","Scene","POS","Ground Y POS","Angle","Start Health","Team","Arrive Condition","Stage Property"
1,"Rban7",2,"1006,645",645,90,1,2,,
2,"Rban7",2,"926,786",786,90,1,2,,
3,"Rban7",2,"1186,767",767,90,1,2,,
4,"Rban7",2,"1350,554",554,90,1,2,,
5,"Rban7",2,"1463,667",667,90,1,2,,
6,"Rban7",2,"1478,966",966,90,1,2,,
7,"Rban7",2,"1600,935",935,90,1,2,,
8,"Rban5",2,"680,1000","1000",90,1,2,,
9,"Rban5",2,"880,1000","1000",90,1,2,,
10,"Rban5",2,"1080,1000","1000",90,1,2,,
11,"Rban5",2,"1280,1000","1000",90,1,2,,
12,"Rban5",2,"1480,1000","1000",90,1,2,,
13,"Rban5",2,"1680,1000","1000",90,1,2,,
14,"Rban6",2,"1080,1000","1000",90,1,2,,
15,"Rban6",2,"1130,1000","1000",90,1,2,,
16,"Rban6",2,"1180,1000","1000",90,1,2,,
17,"Rban6",2,"1380,1000","1000",90,1,2,,
18,"Rban5",2,"1580,1000","1000",90,1,2,,
19,"Rban8",2,"1165,482",482,90,1,2,,
20,"Rban8",2,"1355,482",482,90,1,2,,
21,"Bigta",4,"1740,1000","1000",90,1,2,,
22,"Rcheer1",4,"430,493",493,90,1,2,,"target:21"
23,"Rcheer2",4,"565,493",493,90,1,2,,"target:21"
24,"Rcheer3",4,"716,493",493,90,1,2,,"target:21"
25,"Rcheer4",4,"891,493",493,90,1,2,,"target:21"
26,"Rcheer1",4,"1100,493",493,90,1,2,,"target:21"
27,"Rcheer3",4,"1238,493",493,90,1,2,,"target:21"
28,"Rcheer1",4,"1382,493",493,90,1,2,,"target:21"
29,"Rcheer2",4,"1536,493",493,90,1,2,,"target:21"
30,"Rcheer5",4,"623,852",852,90,1,2,,"target:21"
31,"Rcheer5",4,"1243,855",855,90,1,2,,"target:21"
32,"Rcheer5",4,"290,890",890,90,1,2,,"target:21"
33,"Rcheer5",4,"1612,955",955,90,1,2,,"target:21"
