Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"animal_bear,head,408.4,-290.4,-20,0,2,1,1,0","animal_bear,neck,323.2,-304.4,-97,0,3,1,1,0","animal_bear,body,-12.4,-262.4,-1.5,0,5,1,1,0","animal_bear,arm_up,138.4,-117.6,-26,0,5,1,1,0",,"animal_bear,fist,201.2,-7.2,3,0,5,1,1,0","animal_bear,arm_up,142,-135.6,-35,0,20,1,1,0",,"animal_bear,fist,229.6,-41.2,27,0,19,1,1,0","animal_bear,leg_up,-219.2,-123.2,-17.7,0,4,1,1,0",,"animal_bear,foot,-152.8,-21.6,-3.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,-25.6,-34,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"animal_bear,head,408.4,-290.4,-8,0,2,1,1,0","animal_bear,neck,323.2,-282.4,-91,0,3,1,1,0","animal_bear,body,-12.4,-250.4,-6.5,0,5,1,1,0","animal_bear,arm_up,132.4,-111.6,-41,0,5,1,1,0",,"animal_bear,fist,161.2,-7.2,-17,0,5,1,1,0","animal_bear,arm_up,174,-129.6,-10,0,20,1,1,0",,"animal_bear,fist,253.6,-41.2,17,0,19,1,1,0","animal_bear,leg_up,-235.2,-111.2,-22.7,0,4,1,1,0",,"animal_bear,foot,-184.8,-21.6,-15.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,-25.6,-34,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"animal_bear,head,408.4,-248.4,-8,0,2,1,1,0","animal_bear,neck,323.2,-240.4,-91,0,3,1,1,0","animal_bear,body,-14.4,-222.4,-11.5,0,5,1,1,0","animal_bear,arm_up,172.4,-111.6,-11,0,5,1,1,0",,"animal_bear,fist,241.2,-29.2,13,0,5,1,1,0","animal_bear,arm_up,216,-101.6,10,0,20,1,1,0",,"animal_bear,fist,317.6,-41.2,27,0,19,1,1,0","animal_bear,leg_up,-265.2,-131.2,-28.7,0,4,1,1,0",,"animal_bear,foot,-222.8,-21.6,-15.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,-5.6,-54,11.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"animal_bear,head,408.4,-200.4,-3,0,2,1,1,0","animal_bear,neck,323.2,-192.4,-91,0,3,1,1,0","animal_bear,body,-14.4,-198.4,-15.5,0,5,1,1,0","animal_bear,arm_up,188.4,-57.6,29,0,5,1,1,0",,"animal_bear,fist,297.2,-35.2,53,0,5,1,1,0","animal_bear,arm_up,256,-41.6,40,0,20,1,1,0",,"animal_bear,fist,357.6,-41.2,70,0,19,1,1,0","animal_bear,leg_up,-269.2,-131.2,-43.7,0,4,1,1,0",,"animal_bear,foot,-242.8,-21.6,-22.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,2.4,-42,19.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,"animal_bear,head,408.4,-182.4,-11,0,2,1,1,0","animal_bear,neck,323.2,-184.4,-98,0,3,1,1,0","animal_bear,body,-14.4,-190.4,-15.5,0,5,1,1,0","animal_bear,arm_up,188.4,-43.6,28,0,5,1,1,0",,"animal_bear,fist,297.2,-19.2,38,0,5,1,1,0","animal_bear,arm_up,256,-31.6,33,0,20,1,1,0",,"animal_bear,fist,357.6,-31.2,66,0,19,1,1,0","animal_bear,leg_up,-269.2,-121.2,-43.7,0,4,1,1,0",,"animal_bear,foot,-240.8,-15.6,-18.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,14.4,-44,27.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,"animal_bear,head,408.4,-166.4,-15,0,2,1,1,0","animal_bear,neck,323.2,-174.4,-104,0,3,1,1,0","animal_bear,body,-14.4,-174.4,-10.5,0,5,1,1,0","animal_bear,arm_up,188.4,-33.6,40,0,5,1,1,0",,"animal_bear,fist,297.2,-19.2,45,0,5,1,1,0","animal_bear,arm_up,256,-31.6,33,0,20,1,1,0",,"animal_bear,fist,357.6,-31.2,66,0,19,1,1,0","animal_bear,leg_up,-269.2,-101.2,-55.7,0,4,1,1,0",,"animal_bear,foot,-254.8,-15.6,-28.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,20.4,-44,32.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,"animal_bear,head,404.4,-142.4,-27,0,2,1,1,0","animal_bear,neck,317.2,-174.4,-108,0,3,1,1,0","animal_bear,body,-14.4,-158.4,-4.5,0,5,1,1,0","animal_bear,arm_up,188.4,-33.6,40,0,5,1,1,0",,"animal_bear,fist,297.2,-19.2,55,0,5,1,1,0","animal_bear,arm_up,256,-31.6,33,0,20,1,1,0",,"animal_bear,fist,357.6,-31.2,72,0,19,1,1,0","animal_bear,leg_up,-275.2,-77.2,-70.7,0,4,1,1,0",,"animal_bear,foot,-274.8,10.4,-36.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,24.4,-60,32.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,"animal_bear,head,390.4,-130.4,-31,0,2,1,1,0","animal_bear,neck,303.2,-166.4,-115,0,3,1,1,0","animal_bear,body,-14.4,-148.4,-1.5,0,5,1,1,0","animal_bear,arm_up,188.4,-21.6,34,0,5,1,1,0",,"animal_bear,fist,297.2,-9.2,49,0,5,1,1,0","animal_bear,arm_up,256,-29.6,21,0,20,1,1,0",,"animal_bear,fist,357.6,-23.2,72,0,19,1,1,0","animal_bear,leg_up,-275.2,-73.2,-85.7,0,4,1,1,0",,"animal_bear,foot,-302.8,10.4,-61.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,24.4,-60,32.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,"animal_bear,head,390.4,-106.4,-45,0,2,1,1,0","animal_bear,neck,303.2,-160.4,-117,0,3,1,1,0","animal_bear,body,-14.4,-138.4,-3.5,0,5,1,1,0","animal_bear,arm_up,188.4,-15.6,43,0,5,1,1,0",,"animal_bear,fist,297.2,-9.2,49,0,5,1,1,0","animal_bear,arm_up,256,-19.6,26,0,20,1,1,0",,"animal_bear,fist,357.6,-23.2,72,0,19,1,1,0","animal_bear,leg_up,-275.2,-61.2,-95.7,0,4,1,1,0",,"animal_bear,foot,-316.8,18.4,-76.6,0,13,1,1,0","animal_bear,leg_up,-102.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,24.4,-60,32.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"animal_bear,head,408.4,-298.4,-20,0,2,1,1,0","animal_bear,neck,323.2,-312.4,-97,0,3,1,1,0","animal_bear,body,-12.4,-262.4,-1.5,0,5,1,1,0","animal_bear,arm_up,138.4,-117.6,-26,0,5,1,1,0",,"animal_bear,fist,201.2,-7.2,3,0,5,1,1,0","animal_bear,arm_up,144,-135.6,-15,0,20,1,1,0",,"animal_bear,fist,229.6,-41.2,27,0,19,1,1,0","animal_bear,leg_up,-219.2,-123.2,-17.7,0,4,1,1,0",,"animal_bear,foot,-152.8,-21.6,-3.6,0,13,1,1,0","animal_bear,leg_up,-98.8,-129.2,-7.3,0,12,1,1,0",,"animal_bear,foot,-25.6,-34,1.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
