Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Damaged/0,"Human_jester,Head,25,-540,-13,0,4,1,1,0","Human_jester,Neck,15,-464,-5,0,7,1,1,0","Human_jester,Body,3,-355,-5.5,0,5,1,1,0","Human_jester,Arm Up,-87,-391,-33,0,4,1,1,0","Human_jester,Arm Low,-104,-303,21,0,6,1,1,0","White_human,Open,-72,-209,10,0,7,1,1,0","Human_jester,Arm Up_left,76,-381,10,1,6,1,1,0","Human_jester,Arm Low_left,101,-271,15,1,9,1,1,0","White_human,Open,121,-174,13,1,11,1,1,0","Human_jester,Leg Up,-44,-211,-8.7,0,8,1,1,0","Human_jester,Leg Low,-79,-87,-16,0,14,1,1,0","Human_jester,Foot,-74,-12,-1.6,0,14,1,1,0","Human_jester,Leg Up_left,63,-204,23.2,0,12,1,1,0","Human_jester,Leg Low_left,86,-78,3.5,0,17,1,1,0","Human_jester,Foot_left,111,-13,5.5,0,15,1,1,0",,,"Human_jester,Bell,-42,-313,0,0,4,1,1,0","Human_jester,Bell,-16,-311,6,0,5,1,1,0","Human_jester,Bell,36,-308,0,1,5,1,1,0","Human_jester,Bell,57,-309,5,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/1,"Human_jester,Head,44,-540,-14,0,4,1,1,0","Human_jester,Neck,25,-464,-5,0,7,1,1,0","Human_jester,Body,9,-355,-8.5,0,5,1,1,0","Human_jester,Arm Up,-80,-398,-39,0,4,1,1,0","Human_jester,Arm Low,-124,-303,1,0,6,1,1,0","White_human,Open,-126,-209,-10,0,7,1,1,0","Human_jester,Arm Up_left,96,-371,10,1,6,1,1,0","Human_jester,Arm Low_left,121,-261,15,1,9,1,1,0","White_human,Open,141,-164,13,1,11,1,1,0","Human_jester,Leg Up,-42,-214,-9.7,0,8,1,1,0","Human_jester,Leg Low,-80,-90,-17,0,14,1,1,0","Human_jester,Foot,-76,-15,-5.6,0,14,1,1,0","Human_jester,Leg Up_left,64,-204,25.2,0,12,1,1,0","Human_jester,Leg Low_left,91,-78,7.5,0,17,1,1,0","Human_jester,Foot_left,119,-13,5.5,0,15,1,1,0",,,"Human_jester,Bell,-40,-318,-5,0,4,1,1,0","Human_jester,Bell,-14,-311,1,0,5,1,1,0","Human_jester,Bell,38,-308,-5,1,5,1,1,0","Human_jester,Bell,59,-304,0,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/2,"Human_jester,Close,52,-528,-20,0,4,1,1,0","Human_jester,Neck,25,-464,-10,0,7,1,1,0","Human_jester,Body,9,-351,-10.5,0,5,1,1,0","Human_jester,Arm Up,-89,-411,-59,0,4,1,1,0","Human_jester,Arm Low,-151,-351,-24,0,6,1,1,0","White_human,Open,-207,-272,-60,0,7,1,1,0","Human_jester,Arm Up_left,108,-371,20,1,6,1,1,0","Human_jester,Arm Low_left,162,-268,35,1,9,1,1,0","White_human,Open,227,-194,53,1,11,1,1,0","Human_jester,Leg Up,-44,-213,-11.7,0,8,1,1,0","Human_jester,Leg Low,-88,-91,-21,0,14,1,1,0","Human_jester,Foot,-93,-21,-18.6,0,14,1,1,0","Human_jester,Leg Up_left,66,-202,26.2,0,12,1,1,0","Human_jester,Leg Low_left,92,-78,4.5,0,17,1,1,0","Human_jester,Foot_left,119,-13,5.5,0,15,1,1,0",,,"Human_jester,Bell,-39,-318,-11,0,4,1,1,0","Human_jester,Bell,-16,-311,-5,0,5,1,1,0","Human_jester,Bell,35,-299,-11,1,5,1,1,0","Human_jester,Bell,55,-296,-6,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Damaged/3,"Human_jester,Close,68,-508,-26,0,4,1,1,0","Human_jester,Neck,35,-454,-10,0,7,1,1,0","Human_jester,Body,9,-343,-14.5,0,5,1,1,0","Human_jester,Arm Up,-89,-414,-66,0,4,1,1,0","Human_jester,Arm Low,-181,-361,-54,0,6,1,1,0","White_human,Open,-264,-306,-60,0,7,1,1,0","Human_jester,Arm Up_left,108,-359,20,1,6,1,1,0","Human_jester,Arm Low_left,166,-263,45,1,9,1,1,0","White_human,Open,243,-201,63,1,11,1,1,0","Human_jester,Leg Up,-46,-213,-14.7,0,8,1,1,0","Human_jester,Leg Low,-100,-91,-27,0,14,1,1,0","Human_jester,Foot,-110,-20,-18.6,0,14,1,1,0","Human_jester,Leg Up_left,65,-197,38.2,0,12,1,1,0","Human_jester,Leg Low_left,112,-81,14.5,0,17,1,1,0","Human_jester,Foot_left,149,-13,16.5,0,15,1,1,0",,,"Human_jester,Bell,-40,-310,-3,0,4,1,1,0","Human_jester,Bell,-17,-301,-15,0,5,1,1,0","Human_jester,Bell,34,-290,7,1,5,1,1,0","Human_jester,Bell,54,-288,2,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jester Bell,1000,0"
Damaged/4,"Human_jester,Head,44,-533,-16,0,4,1,1,0","Human_jester,Neck,25,-464,-5,0,7,1,1,0","Human_jester,Body,9,-355,-8.5,0,5,1,1,0","Human_jester,Arm Up,-80,-398,-39,0,4,1,1,0","Human_jester,Arm Low,-124,-303,1,0,6,1,1,0","White_human,Open,-126,-209,-10,0,7,1,1,0","Human_jester,Arm Up_left,96,-371,10,1,6,1,1,0","Human_jester,Arm Low_left,132,-261,25,1,9,1,1,0","White_human,Open,177,-173,33,1,11,1,1,0","Human_jester,Leg Up,-42,-214,-9.7,0,8,1,1,0","Human_jester,Leg Low,-80,-90,-17,0,14,1,1,0","Human_jester,Foot,-76,-15,-5.6,0,14,1,1,0","Human_jester,Leg Up_left,64,-204,25.2,0,12,1,1,0","Human_jester,Leg Low_left,91,-78,7.5,0,17,1,1,0","Human_jester,Foot_left,119,-13,5.5,0,15,1,1,0",,,"Human_jester,Bell,-40,-318,-5,0,4,1,1,0","Human_jester,Bell,-14,-311,1,0,5,1,1,0","Human_jester,Bell,38,-308,-5,1,5,1,1,0","Human_jester,Bell,59,-304,0,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/5,"Human_jester,Head,5,-541,-6,0,4,1,1,0","Human_jester,Neck,-1,-464,-2,0,7,1,1,0","Human_jester,Body,0,-353,-2.5,0,5,1,1,0","Human_jester,Arm Up,-93,-386,-32,0,4,1,1,0","Human_jester,Arm Low,-95,-304,38,0,6,1,1,0","White_human,Open,-48,-234,14,0,7,1,1,0","Human_jester,Arm Up_left,74,-378,9,1,6,1,1,0","Human_jester,Arm Low_left,99,-268,14,1,9,1,1,0","White_human,Open,118,-171,12,1,11,1,1,0","Human_jester,Leg Up,-44,-211,-8.7,0,8,1,1,0","Human_jester,Leg Low,-79,-87,-16,0,14,1,1,0","Human_jester,Foot,-73,-13,-1.6,0,14,1,1,0","Human_jester,Leg Up_left,63,-203,22.2,0,12,1,1,0","Human_jester,Leg Low_left,80,-78,-0.5,0,17,1,1,0","Human_jester,Foot_left,104,-13,6.5,0,15,1,1,0",,,"Human_jester,Bell,-44,-311,-1,0,4,1,1,0","Human_jester,Bell,-18,-309,5,0,5,1,1,0","Human_jester,Bell,35,-305,-1,1,5,1,1,0","Human_jester,Bell,56,-305,4,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default/0,"Human_jester,Head,0,-543,1,0,4,1,1,0","Human_jester,Neck,-3,-462,-2,0,7,1,1,0","Human_jester,Body,0,-356,-1.5,0,5,1,1,0","Human_jester,Arm Up,-117,-425,-76,0,5,1,1,0","Human_jester,Arm Low,-212,-401,-76,0,7,1,1,0","White_human,Fist,-300,-383,-84,0,9,1,1,0","Human_jester,Arm Up_left,109,-414,84,0,14,1,1,0","Human_jester,Arm Low_left,220,-405,86,1,21,1,1,0","White_human,Fist Back,306,-397,73,0,23,1,1,0","Human_jester,Leg Up,-42,-211,-10.7,0,8,1,1,0","Human_jester,Leg Low,-77,-88,-14,0,14,1,1,0","Human_jester,Foot,-70,-13,-1.6,0,13,1,1,0","Human_jester,Leg Up_left,56,-211,21.2,0,12,1,1,0","Human_jester,Leg Low_left,78,-85,4.5,0,17,1,1,0","Human_jester,Foot_left,102,-15,4.5,0,15,1,1,0",,,"Human_jester,Bell,-42,-314,0,0,4,1,1,0","Human_jester,Bell,-16,-312,6,0,5,1,1,0","Human_jester,Bell,36,-309,0,1,5,1,1,0","Human_jester,Bell,57,-310,5,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"Human_jester,Head,44,-540,-14,0,4,1,1,0","Human_jester,Neck,25,-464,-5,0,7,1,1,0","Human_jester,Body,9,-355,-8.5,0,5,1,1,0","Human_jester,Arm Up,-92,-405,-49,0,4,1,1,0","Human_jester,Arm Low,-173,-336,-50,0,6,1,1,0","White_human,Open,-249,-273,-50,1,7,1,1,0","Human_jester,Arm Up_left,113,-382,30,1,6,1,1,0","Human_jester,Arm Low_left,173,-287,35,1,9,1,1,0","White_human,Open,231,-210,43,0,11,1,1,0","Human_jester,Leg Up,-42,-214,-9.7,0,8,1,1,0","Human_jester,Leg Low,-80,-90,-17,0,14,1,1,0","Human_jester,Foot,-76,-15,-5.6,0,14,1,1,0","Human_jester,Leg Up_left,64,-210,28.2,0,12,1,1,0","Human_jester,Leg Low_left,91,-85,5.5,0,17,1,1,0","Human_jester,Foot_left,110,-13,-14.5,0,15,1,1,0",,,"Human_jester,Bell,-50,-324,-35,0,4,1,1,0","Human_jester,Bell,-24,-317,-29,0,5,1,1,0","Human_jester,Bell,41,-308,5,1,5,1,1,0","Human_jester,Bell,62,-304,10,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"Human_jester,Close,47,-539,-16,0,4,1,1,0","Human_jester,Neck,25,-464,-5,0,7,1,1,0","Human_jester,Body,9,-355,-8.5,0,5,1,1,0","Human_jester,Arm Up,-85,-401,-41,0,4,1,1,0","Human_jester,Arm Low,-170,-364,-99,0,6,1,1,0","White_human,Open,-256,-354,-50,1,7,1,1,0","Human_jester,Arm Up_left,123,-382,40,1,6,1,1,0","Human_jester,Arm Low_left,204,-357,105,1,9,1,1,0","White_human,Open,283,-350,49,0,11,1,1,0","Human_jester,Leg Up,-44,-219,-9.7,0,8,1,1,0","Human_jester,Leg Low,-82,-93,-17,0,14,1,1,0","Human_jester,Foot,-92,-18,-35.6,0,14,1,1,0","Human_jester,Leg Up_left,66,-205,35.2,0,12,1,1,0","Human_jester,Leg Low_left,91,-99,-2.5,0,17,1,1,0","Human_jester,Foot_left,96,-23,-24.5,0,15,1,1,0",,,"Human_jester,Bell,-48,-324,-45,0,4,1,1,0","Human_jester,Bell,-25,-318,-39,0,5,1,1,0","Human_jester,Bell,44,-308,35,1,5,1,1,0","Human_jester,Bell,65,-308,40,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"Human_jester,Close,47,-513,-19,0,4,1,1,0","Human_jester,Neck,25,-444,-5,0,7,1,1,0","Human_jester,Body,9,-335,-8.5,0,5,1,1,0","Human_jester,Arm Up,-85,-382,-43,0,4,1,1,0","Human_jester,Arm Low,-170,-361,-109,0,6,1,1,0","White_human,Open,-252,-360,-50,1,7,1,1,0","Human_jester,Arm Up_left,123,-362,40,1,6,1,1,0","Human_jester,Arm Low_left,204,-347,115,1,9,1,1,0","White_human,Open,283,-353,54,0,11,1,1,0","Human_jester,Leg Up,-44,-199,-9.7,0,8,1,1,0","Human_jester,Leg Low,-82,-73,-17,0,14,1,1,0","Human_jester,Foot,-89,2,-23.6,0,14,1,1,0","Human_jester,Leg Up_left,66,-185,35.2,0,12,1,1,0","Human_jester,Leg Low_left,91,-79,-2.5,0,17,1,1,0","Human_jester,Foot_left,101,-3,-16.5,0,15,1,1,0",,,"Human_jester,Bell,-48,-304,-45,0,4,1,1,0","Human_jester,Bell,-25,-298,-39,0,5,1,1,0","Human_jester,Bell,44,-288,35,1,5,1,1,0","Human_jester,Bell,65,-288,40,1,4,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smoke Pop,Base,22,-313,0,0,0,1.2,1.2,1",,,,,,,,,,"Smoke Puff,1000,0"
