Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Human_land_ranger,Head,-8,-523,-3,0,4,1,1,0","Human_land_ranger,Neck,-3,-466,-10,0,4,1,1,0","Human_land_ranger,Body,-0.8,-364.4,-0.5,0,5,1,1,0","Human_land_ranger,Arm Up,-108,-421,-81,0,6,1,1,0","Human_land_ranger,Arm Low,-188,-404,-79,0,7,1,1,0","White_human,Fist,-268,-390,-90,0,8,1,1,0","Human_land_ranger,Arm Up,86,-431.6,86,1,13,1,1,0","Human_land_ranger,Arm Low,173,-425,86,1,17,1,1,0","White_human,Fist Back,250,-425,85,0,18,1,1,0","Human_land_ranger,Leg Up,-41,-210,-8.7,0,8,1,1,0","Human_land_ranger,Leg Low,-69,-107,-13,0,13,1,1,0","Human_land_ranger,Foot,-65,-18,-3.6,0,13,1,1,0","Human_land_ranger,Leg Up,51,-204,18.7,0,12,1,1,0","Human_land_ranger,Leg Low,67,-103,4.5,0,16,1,1,0","Human_land_ranger,Foot,94.2,-14.4,4.5,0,15,1,1,0",,,"Human_land_ranger,Headtail,-76,-510,0,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"Human_land_ranger,Head,-97,-511.4,22.5,0,4,1,1,0","Human_land_ranger,Neck,-66,-468.4,5,0,4,1,1,0","Human_land_ranger,Body,-36.8,-364.4,17.5,0,5,1,1,0","Human_land_ranger,Arm Up,-135,-380.4,-38.1,0,6,1,1,0","Human_land_ranger,Arm Low,-189.8,-304.4,-32.6,0,7,1,1,0","White_human,Open,-237,-231,-33.4,0,8,1,1,0","Human_land_ranger,Arm Up,44,-427.4,72.9,1,13,1,1,0","Human_land_ranger,Arm Low,133,-413,92.9,1,17,1,1,0","White_human,Fist Back,214,-420,101.5,0,19,1,1,0","Human_land_ranger,Leg Up,-37,-212.4,2.3,0,8,1,1,0","Human_land_ranger,Leg Low,-65,-106.4,-25,0,10,1,1,0","Human_land_ranger,Foot,-76.8,-17.4,-3.6,0,13,1,1,0","Human_land_ranger,Leg Up,62,-230.4,36.2,0,12,1,1,0","Human_land_ranger,Leg Low,106,-143.4,20,0,13,1,1,0","Human_land_ranger,Foot,158.8,-70,18,0,15,1,1,0","Human_land_militia_bow,Base,167,-441,-154.2,0,23,1,1,0",,"Human_land_ranger,Headtail_speed1,-174.8,-503.2,9.5,0,0,1,1,0","Item,Central Quiver,-65.4,-401.6,58.4,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"Human_land_ranger,Close,-197,-439.4,49,0,4,1,1,0","Human_land_ranger,Neck,-148,-412.4,35.5,0,4,1,1,0","Human_land_ranger,Body,-76.8,-336.4,42,0,5,1,1,0","Human_land_ranger,Arm Up,-165,-306.4,4.6,0,6,1,1,0","Human_land_ranger,Arm Low,-124.8,-202.8,35.8,0,7,1,1,0","White_human,Open,-71,-133,41.9,0,8,1,1,0","Human_land_ranger,Arm Up,-52,-432.4,113.4,1,13,1,1,0","Human_land_ranger,Arm Low,36,-481,128.7,1,17,1,1,0","White_human,Fist Back,96,-530,128.1,0,19,1,1,0","Human_land_ranger,Leg Up,-9,-214.4,37.5,0,8,1,1,0","Human_land_ranger,Leg Low,24,-116,4,0,10,1,1,0","Human_land_ranger,Foot,49.6,-28.4,2.4,0,13,1,1,0","Human_land_ranger,Leg Up,42,-250.4,52.2,0,12,1,1,0","Human_land_ranger,Leg Low,107,-170,30,0,13,1,1,0","Human_land_ranger,Foot,168,-100,26.5,0,15,1,1,0","Human_land_militia_bow,Base,43,-531,-128.7,0,23,1,1,0",,"Human_land_ranger,Headtail_speed1,-250.4,-387.6,49.5,0,0,1,1,0","Item,Central Quiver,-67,-330,102.4,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"Human_land_ranger,Close,-175,-449,45.5,0,4,1,1,0","Human_land_ranger,Neck,-134,-422.4,27,0,4,1,1,0","Human_land_ranger,Body,-76.8,-332.4,32.5,0,5,1,1,0","Human_land_ranger,Arm Up,-166,-307,0.6,0,6,1,1,0","Human_land_ranger,Arm Low,-126.8,-200.8,38.8,0,7,1,1,0","White_human,Open,-67,-129,43.4,0,8,1,1,0","Human_land_ranger,Arm Up,-44,-428.4,107.9,1,13,1,1,0","Human_land_ranger,Arm Low,48.4,-476.4,132.2,1,17,1,1,0","White_human,Fist Back,106,-532,130.1,0,19,1,1,0","Human_land_ranger,Leg Up,-33,-210.4,24,0,8,1,1,0","Human_land_ranger,Leg Low,-12,-109.6,0,0,10,1,1,0","Human_land_ranger,Foot,1.6,-28.4,-8.1,0,13,1,1,0","Human_land_ranger,Leg Up,32,-234.4,51.2,0,12,1,1,0","Human_land_ranger,Leg Low,97,-152,27.5,0,16,1,1,0","Human_land_ranger,Foot,154.8,-84,27,0,15,1,1,0","Human_land_militia_bow,Base,59,-529,-125.7,0,23,1,1,0",,"Human_land_ranger,Headtail_speed1,-248,-414,31.5,0,0,1,1,0","Item,Central Quiver,47,-360,95.4,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,"Human_land_ranger,Close,-234,-284,75.5,0,4,1,1,0","Human_land_ranger,Neck,-184,-282,57,0,4,1,1,0","Human_land_ranger,Body,-90,-233,62.5,0,5,1,1,0","Human_land_ranger,Arm Up,-152,-166,30.6,0,6,1,1,0","Human_land_ranger,Arm Low,-68,-94,68.8,0,7,1,1,0","White_human,Open,19,-61,73.4,0,8,1,1,0","Human_land_ranger,Arm Up,-110,-332,137.9,1,13,1,1,0","Human_land_ranger,Arm Low,-55,-419,162.2,1,17,1,1,0","White_human,Open Back,-25,-508,160.6,0,19,1,1,0","Human_land_ranger,Leg Up,10,-147,54,0,8,1,1,0","Human_land_ranger,Leg Low,79,-71,30,0,10,1,1,0","Human_land_ranger,Foot,130,-8,21.9,0,13,1,1,0","Human_land_ranger,Leg Up,53,-220,91.2,0,12,1,1,0","Human_land_ranger,Leg Low,151,-193,57.5,0,16,1,1,0","Human_land_ranger,Foot,235,-163,62,0,15,1,1,0","Human_land_militia_bow,Base,150,-529,170,0,23,1,1,0",,"Human_land_ranger,Headtail_speed1,-274,-218,64.5,0,0,1,1,0","Item,Central Quiver,77,-230,75.4,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,"Human_land_ranger,Close,-233.6,-79.2,112.7,0,4,1,1,0","Human_land_ranger,Neck,-189.6,-108.8,102.6,0,4,1,1,0","Human_land_ranger,Body,-88.8,-124.4,101.5,0,5,1,1,0","Human_land_ranger,Arm Up,-92,-28,72,0,6,1,1,0","Human_land_ranger,Arm Low,6,-44.8,122.1,0,6,1,1,0","White_human,Open,66.8,-94.4,128.6,0,7,1,1,0","Human_land_ranger,Arm Up,-158.8,-189.6,158.8,1,13,1,1,0","Human_land_ranger,Arm Low,-113.6,-300.4,157.2,1,17,1,1,0","White_human,Open Back,-81,-377,150.6,0,19,1,1,0","Human_land_ranger,Leg Up,72.8,-100.4,79.1,0,8,1,1,0","Human_land_ranger,Leg Low,161.6,-66,66.2,0,10,1,1,0","Human_land_ranger,Foot,235.6,-18,-4.1,0,13,1,1,0","Human_land_ranger,Leg Up,32,-192.4,128.7,0,12,1,1,0","Human_land_ranger,Leg Low,114.8,-250,131.8,0,13,1,1,0","Human_land_ranger,Foot,173.6,-323.6,112,0,15,1,1,0","Human_land_militia_bow,Base,242.4,-521.6,126.6,0,19,1,1,0",,"Human_land_ranger,Headtail_speed1,-235,-5,93.6,0,4,1,1,0","Item,Central Quiver,61.2,-124.8,48.4,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,"Human_land_ranger,Close,-237.6,-73.2,104.2,0,4,1,1,0","Human_land_ranger,Neck,-189.6,-88.8,98.6,0,4,1,1,0","Human_land_ranger,Body,-88.8,-104.4,97.5,0,5,1,1,0","Human_land_ranger,Arm Up,-92,-12,75,0,6,1,1,0","Human_land_ranger,Arm Low,2,-26.8,120.1,0,5,1,1,0","White_human,Open,60.8,-74.4,124.6,0,6,1,1,0","Human_land_ranger,Arm Up,-162.8,-169.6,167.8,1,13,1,1,0","Human_land_ranger,Arm Low,-149.6,-280.4,178.2,1,17,1,1,0","White_human,Open Back,-146,-371,172.1,0,19,1,1,0","Human_land_ranger,Leg Up,72.8,-86.4,81.6,0,8,1,1,0","Human_land_ranger,Leg Low,161.6,-60,70.2,0,10,1,1,0","Human_land_ranger,Foot,235.6,-22,-1.6,0,13,1,1,0","Human_land_ranger,Leg Up,32,-162.4,124.7,0,12,1,1,0","Human_land_ranger,Leg Low,114.8,-188,91.4,0,13,1,1,0","Human_land_ranger,Foot,205.2,-198.8,56.2,0,15,1,1,0","Human_land_militia_bow,Base,369.6,-348,108.6,0,19,1,1,0",,"Human_land_ranger,Headtail_speed1,-255.6,-3.2,80.1,0,0,1,1,0","Item,Central Quiver,61.2,-86.8,113.9,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,"Human_land_ranger,Close,-237.6,-97.2,87.2,0,4,1,1,0","Human_land_ranger,Neck,-183.6,-108.8,85.6,0,4,1,1,0","Human_land_ranger,Body,-88.8,-82.4,76,0,5,1,1,0","Human_land_ranger,Arm Up,-118,-14,68,0,6,1,1,0","Human_land_ranger,Arm Low,-18,-4.8,99.1,0,5,1,1,0","White_human,Open,64.8,-30.4,100.1,0,6,1,1,0","Human_land_ranger,Arm Up,-154.8,-147.6,134.7,1,13,1,1,0","Human_land_ranger,Arm Low,-85.6,-225.2,144.5,1,17,1,1,0","White_human,Open Back,-22,-298,130.6,0,19,1,1,0","Human_land_ranger,Leg Up,54.8,-64.4,125.9,0,8,1,1,0","Human_land_ranger,Leg Low,153.6,-108,114.1,0,10,1,1,0","Human_land_ranger,Foot,242.4,-140.4,64.4,0,13,1,1,0","Human_land_ranger,Leg Up,44,-114.4,134.2,0,12,1,1,0","Human_land_ranger,Leg Low,126,-176.4,127.8,0,13,1,1,0","Human_land_ranger,Foot,185.6,-236.4,108,0,15,1,1,0","Human_land_militia_bow,Base,424.8,-171.6,90.6,0,19,1,1,0",,"Human_land_ranger,Headtail_speed1,-273.6,-39.2,60.1,0,0,1,1,0","Item,Central Quiver,106,-36,87.3,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,"Human_land_ranger,Close,-239.6,-97.2,77.2,0,4,1,1,0","Human_land_ranger,Neck,-183.6,-108.8,85.6,0,4,1,1,0","Human_land_ranger,Body,-88.8,-82.4,76,0,5,1,1,0","Human_land_ranger,Arm Up,-118,-24,80,0,4,1,1,0","Human_land_ranger,Arm Low,-18,-48.8,119.9,0,4,1,1,0","White_human,Open,59,-86,106.1,0,5,1,1,0","Human_land_ranger,Arm Up,-103,-153,100,1,13,1,1,0","Human_land_ranger,Arm Low,-15,-195,140,1,17,1,1,0","White_human,Open Back,51,-263,130,0,19,1,1,0","Human_land_ranger,Leg Up,26.8,-68.4,123.9,0,8,1,1,0","Human_land_ranger,Leg Low,125.6,-112,118.6,0,10,1,1,0","Human_land_ranger,Foot,206.4,-158.4,82.4,0,13,1,1,0","Human_land_ranger,Leg Up,44,-114.4,139.2,0,12,1,1,0","Human_land_ranger,Leg Low,122,-182.4,135.3,0,13,1,1,0","Human_land_ranger,Foot,173.6,-248.4,112,0,15,1,1,0","Human_land_militia_bow,Base,417.6,-59.2,78.6,0,19,1,1,0",,"Human_land_ranger,Headtail_speed1,-259,-37,62.1,0,6,1,1,0","Item,Central Quiver,106,-36,90.3,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/8,"Human_land_ranger,Close,-233.6,-47.2,110.2,0,4,1,1,0","Human_land_ranger,Neck,-185.6,-76.8,97.1,0,4,1,1,0","Human_land_ranger,Body,-88.8,-60.4,87.5,0,5,1,1,0","Human_land_ranger,Arm Up,-118,-16,87,0,4,1,1,0","Human_land_ranger,Arm Low,-18,-24.8,89.5,0,5,1,1,0","White_human,Fist,59.2,-24,74.1,0,6,1,1,0","Human_land_ranger,Arm Up,-126.8,-101.6,86.7,1,13,1,1,0","Human_land_ranger,Arm Low,-31.2,-97.2,91.8,1,17,1,1,0","White_human,Fist Back,16.8,-90.8,94.3,0,15,1,1,0","Human_land_ranger,Leg Up,48.8,-36.4,87.1,0,8,1,1,0","Human_land_ranger,Leg Low,156,-22.8,79,0,10,1,1,0","Human_land_ranger,Foot,240,-26.4,82.4,0,13,1,1,0","Human_land_ranger,Leg Up,44,-80.4,85.2,0,12,1,1,0","Human_land_ranger,Leg Low,140,-42.4,61.9,0,13,1,1,0","Human_land_ranger,Foot,210,-10,8.9,0,15,1,1,0","Human_land_militia_bow,Base,417.6,-55.2,89.6,0,19,1,1,0",,"Human_land_ranger,Headtail_speed1,-239.6,0.8,56.1,0,6,1,1,0","Item,Central Quiver,106,-36,90.3,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
