Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Idle/0,"Vasla,Head,135,-335,-17,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-236,-50,0,6,1,1,0","Vasla,Arm Up,41,-253,-6.4,0,4,1,1,0","Vasla,Arm Low,35,-143,9,0,6,1,1,0","Vasla,Open,56,-46,12,0,7,0.9,0.9,0","Vasla,Arm Up,138,-233,1,0,18,1,1,0","Vasla,Arm Low,171,-136,34,1,19,1,1,0","Vasla,Open Back,216,-61,30,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,15,0,6,1,1,0","Vasla,Leg Low,-55,-86,-51,0,10,1,1,0","Vasla,Foot,-79,-17,-15,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
Idle/1,"Vasla,Head,135,-332,-18,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-235,-51,0,6,1,1,0","Vasla,Arm Up,42,-252,-7.4,0,4,1,1,0","Vasla,Arm Low,34,-142,8,0,6,1,1,0","Vasla,Open,53,-45,11,0,7,0.9,0.9,0","Vasla,Arm Up,137,-231,2,0,18,1,1,0","Vasla,Arm Low,171,-135,35,1,19,1,1,0","Vasla,Open Back,217,-61,31,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,15,0,6,1,1,0","Vasla,Leg Low,-55,-86,-51,0,10,1,1,0","Vasla,Foot,-79,-17,-16,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/2,"Vasla,Close,136,-330,-21,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-234,-52,0,6,1,1,0","Vasla,Arm Up,42,-251,-7.4,0,4,1,1,0","Vasla,Arm Low,34,-141,8,0,6,1,1,0","Vasla,Open,53,-44,11,0,7,0.9,0.9,0","Vasla,Arm Up,136,-230,0,0,18,1,1,0","Vasla,Arm Low,169,-133,33,1,19,1,1,0","Vasla,Open Back,214,-60,30,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,16,0,6,1,1,0","Vasla,Leg Low,-55,-86,-52,0,10,1,1,0","Vasla,Foot,-79,-17,-17,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/3,"Vasla,Close,136,-329,-23,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-234,-52,0,6,1,1,0","Vasla,Arm Up,42,-251,-8.4,0,4,1,1,0","Vasla,Arm Low,32,-141,7,0,6,1,1,0","Vasla,Open,49,-44,10,0,7,0.9,0.9,0","Vasla,Arm Up,136,-230,0,0,18,1,1,0","Vasla,Arm Low,169,-133,33,1,19,1,1,0","Vasla,Open Back,214,-60,30,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,16,0,6,1,1,0","Vasla,Leg Low,-55,-86,-52,0,10,1,1,0","Vasla,Foot,-79,-17,-17,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.25,,
Idle/4,"Vasla,Head,136,-327,-26,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-234,-52,0,6,1,1,0","Vasla,Arm Up,42,-251,-8.4,0,4,1,1,0","Vasla,Arm Low,32,-141,7,0,6,1,1,0","Vasla,Open,49,-44,10,0,7,0.9,0.9,0","Vasla,Arm Up,136,-230,0,0,18,1,1,0","Vasla,Arm Low,169,-133,33,1,19,1,1,0","Vasla,Open Back,214,-60,30,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,16,0,6,1,1,0","Vasla,Leg Low,-55,-86,-52,0,10,1,1,0","Vasla,Foot,-79,-17,-17,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/5,"Vasla,Close,136,-329,-23,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-234,-52,0,6,1,1,0","Vasla,Arm Up,42,-251,-8.4,0,4,1,1,0","Vasla,Arm Low,32,-141,7,0,6,1,1,0","Vasla,Open,49,-44,10,0,7,0.9,0.9,0","Vasla,Arm Up,136,-230,0,0,18,1,1,0","Vasla,Arm Low,169,-133,33,1,19,1,1,0","Vasla,Open Back,214,-60,30,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,16,0,6,1,1,0","Vasla,Leg Low,-55,-86,-52,0,10,1,1,0","Vasla,Foot,-79,-17,-17,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/6,"Vasla,Close,136,-330,-21,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-234,-52,0,6,1,1,0","Vasla,Arm Up,42,-251,-7.4,0,4,1,1,0","Vasla,Arm Low,34,-141,8,0,6,1,1,0","Vasla,Open,53,-44,11,0,7,0.9,0.9,0","Vasla,Arm Up,136,-230,0,0,18,1,1,0","Vasla,Arm Low,169,-133,33,1,19,1,1,0","Vasla,Open Back,214,-60,30,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,16,0,6,1,1,0","Vasla,Leg Low,-55,-86,-52,0,10,1,1,0","Vasla,Foot,-79,-17,-17,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/7,"Vasla,Head,135,-332,-18,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-235,-51,0,6,1,1,0","Vasla,Arm Up,42,-252,-7.4,0,4,1,1,0","Vasla,Arm Low,34,-142,8,0,6,1,1,0","Vasla,Open,53,-45,11,0,7,0.9,0.9,0","Vasla,Arm Up,137,-231,2,0,18,1,1,0","Vasla,Arm Low,171,-135,35,1,19,1,1,0","Vasla,Open Back,217,-61,31,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,15,0,6,1,1,0","Vasla,Leg Low,-55,-86,-51,0,10,1,1,0","Vasla,Foot,-79,-17,-16,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default/0,"Vasla,Head,19,-452,4,0,4,1,1,0","Vasla,Neck,13,-400,1,0,7,1,1,0","Vasla,Body,11,-301,3,0,6,1,1,0","Vasla,Arm Up,-59,-345,-57.4,1,4,1,1,0","Vasla,Arm Low,-164,-281,-55,0,6,1,1,0","Vasla,Open,-236,-222,-51,0,7,1,1,0","Vasla,Arm Up,103,-347,57,1,18,1,1,0","Vasla,Arm Low,195,-276,49,1,19,1,1,0","Vasla,Open,266,-208,43,1,21,1,1,0","Vasla,Leg Up,-35,-196,-12,0,6,1,1,0","Vasla,Leg Low,-59,-98,-12,0,10,1,1,0","Vasla,Foot,-44,-18,-6,0,13,1,1,0","Vasla,Leg Up,46,-194,22,0,9,1,1,0","Vasla,Leg Low,69,-96,1,0,13,1,1,0","Vasla,Foot,100,-22,2,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged/0,"Vasla,Head,135,-332,-18,0,4,1,1,0","Vasla,Neck,138,-339,-49,0,7,1,1,0","Vasla,Body,33,-235,-51,0,6,1,1,0","Vasla,Arm Up,42,-252,-7.4,0,4,1,1,0","Vasla,Arm Low,34,-142,8,0,6,1,1,0","Vasla,Open,53,-45,11,0,7,0.9,0.9,0","Vasla,Arm Up,137,-231,2,0,18,1,1,0","Vasla,Arm Low,171,-135,35,1,19,1,1,0","Vasla,Open Back,217,-61,31,0,21,0.9,0.9,0","Vasla,Leg Up,-28,-157,15,0,6,1,1,0","Vasla,Leg Low,-55,-86,-51,0,10,1,1,0","Vasla,Foot,-79,-17,-16,0,13,1,1,0","Vasla,Leg Up,53,-160,41,0,9,1,1,0","Vasla,Leg Low,89,-84,14,0,13,1,1,0","Vasla,Foot,125,-19,-4,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
