Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Attack1/0,"Human_crossbow,Head,18,-642,-14,0,8,1,1,0","Human_banner,Neck,9,-603,2,0,10,1,1,0","Human_flower_crossbow,Body,-7,-455,-5.5,0,10,1,1,0","Human_banner,Arm Up,-71,-506,-15,0,8,1,1,0","Human_banner,Arm Low,-40,-421,60,0,8,1,1,0","White_human,Open,39,-385,73,0,9,1,1,0","Human_banner,Arm Up,76,-504,22,1,18,1,1,0","Human_banner,Arm Low,95,-408,-6,1,20,1,1,0","White_human,Open Back,86,-380,18,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-346,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,exclude_p2,
Attack1/1,"Human_crossbow,Head,18,-642,-14,0,8,1,1,0","Human_banner,Neck,9,-603,2,0,10,1,1,0","Human_flower_crossbow,Body,-7,-455,-5.5,0,10,1,1,0","Human_banner,Arm Up,-71,-506,-15,0,8,1,1,0","Human_banner,Arm Low,-40,-421,60,0,8,1,1,0","White_human,Open,39,-385,73,0,9,1,1,0","Human_banner,Arm Up,76,-504,22,1,18,1,1,0","Human_banner,Arm Low,95,-408,-6,1,20,1,1,0","White_human,Open Back,86,-380,18,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-346,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/2,"Human_crossbow,Head,18,-642,-14,0,8,1,1,0","Human_banner,Neck,9,-603,2,0,10,1,1,0","Human_flower_crossbow,Body,-7,-455,-5.5,0,10,1,1,0","Human_banner,Arm Up,-71,-506,-15,0,8,1,1,0","Human_banner,Arm Low,-40,-421,60,0,8,1,1,0","White_human,Open,39,-385,73,0,9,1,1,0","Human_banner,Arm Up,76,-504,22,1,18,1,1,0","Human_banner,Arm Low,95,-408,-6,1,20,1,1,0","White_human,Open Back,86,-380,18,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-346,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/3,"Human_crossbow,Head,42,-641,-25,0,8,1,1,0","Human_banner,Neck,13,-601,2,0,10,1,1,0","Human_flower_crossbow,Body,-6,-455,-8.5,0,10,1,1,0","Human_banner,Arm Up,-72,-506,-20,0,8,1,1,0","Human_banner,Arm Low,-60,-421,50,0,8,1,1,0","White_human,Open,39,-385,73,0,9,1,1,0","Human_banner,Arm Up,76,-502,18,1,18,1,1,0","Human_banner,Arm Low,87,-402,-10,1,20,1,1,0","White_human,Open Back,78,-374,14,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-346,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,exclude_p2,
Attack1/4,"Human_crossbow,Head,44,-639,-26,0,8,1,1,0","Human_banner,Neck,13,-601,2,0,10,1,1,0","Human_flower_crossbow,Body,-6,-455,-8.5,0,10,1,1,0","Human_banner,Arm Up,-73,-513,-31,0,8,1,1,0","Human_banner,Arm Low,-70,-431,50,0,8,1,1,0","White_human,Open,9,-365,43,0,9,1,1,0","Human_banner,Arm Up,76,-499,18,1,18,1,1,0","Human_banner,Arm Low,87,-402,-10,1,20,1,1,0","White_human,Open Back,78,-374,24,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-346,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.25,exclude_p2,
Attack1/5,"Human_crossbow,Head,44,-639,-27,0,8,1,1,0","Human_banner,Neck,13,-601,2,0,10,1,1,0","Human_flower_crossbow,Body,-6,-455,-9.5,0,10,1,1,0","Human_banner,Arm Up,-88,-527,-51,0,8,1,1,0","Human_banner,Arm Low,-99,-462,49,0,8,1,1,0","White_human,Open,-22,-394,42,0,9,1,1,0","Human_banner,Arm Up,76,-492,17,1,18,1,1,0","Human_banner,Arm Low,87,-397,-10,1,20,1,1,0","White_human,Open Back,78,-329,54,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 1,34,-346,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,exclude_p2,"Mechanic Click,1000,0"
Attack1/6,"Human_crossbow,Head,18,-634,-14,0,8,1,1,0","Human_banner,Neck,9,-593,2,0,10,1,1,0","Human_flower_crossbow,Body,-7,-445,-5.5,0,10,1,1,0","Human_banner,Arm Up,-71,-496,-15,0,8,1,1,0","Human_banner,Arm Low,-40,-411,60,0,8,1,1,0","White_human,Open,39,-375,73,0,9,1,1,0","Human_banner,Arm Up,76,-493,22,1,18,1,1,0","Human_banner,Arm Low,95,-398,-6,1,20,1,1,0","White_human,Open Back,86,-310,-12,0,34,1,1,0",,,,,,,"Human_crossbow,Base,34,-336,130,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/7,"Human_crossbow,Head,1,-627,-7,0,7,1,1,0","Human_banner,Neck,-4,-582,3,0,9,1,1,0","Human_flower_crossbow,Body,-7,-442,-1.5,0,10,1,1,0","Human_banner,Arm Up,-74,-486,-10,0,8,1,1,0","Human_banner,Arm Low,-44,-429,90,0,8,1,1,0","White_human,Open,43,-437,103,0,9,1,1,0","Human_banner,Arm Up,76,-497,26,1,18,1,1,0","Human_banner,Arm Low,159,-438,84,1,20,1,1,0","White_human,Open Back,250,-418,78,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 2,144,-437,-180,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/8,"Human_crossbow,Head,-8,-627,-3,0,7,1,1,0","Human_banner,Neck,-8,-582,4,0,9,1,1,0","Human_flower_crossbow,Body,-9,-442,-0.5,0,10,1,1,0","Human_banner,Arm Up,-57,-473,1,0,8,1,1,0","Human_banner,Arm Low,-17,-424,101,0,8,1,1,0","White_human,Open,66,-446,114,0,9,1,1,0","Human_banner,Arm Up,73,-516,60,1,18,1,1,0","Human_banner,Arm Low,155,-497,105,1,20,1,1,0","White_human,Open Back,222,-522,119,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 2,141,-492,-159,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_p2,
Attack1/9,"Human_crossbow,Head,-12,-625,-2,0,7,1,1,0","Human_banner,Neck,-9,-580,5,0,9,1,1,0","Human_flower_crossbow,Body,-9,-440,1.5,0,10,1,1,0","Human_banner,Arm Up,-45,-471,22,0,8,1,1,0","Human_banner,Arm Low,17,-438,112,0,8,1,1,0","White_human,Open,93,-476,125,0,9,1,1,0","Human_banner,Arm Up,73,-524,63,1,18,1,1,0","Human_banner,Arm Low,155,-506,101,1,20,1,1,0","White_human,Open Back,231,-522,120,0,34,1,1,0",,,,,,,"Human_crossbow,Draw 2,162,-513,-163,0,10,1,1,0",,,,,,,,,,,,,,"Human_flower_castle,Body,354,-404,0,0,5,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,exclude_p2,
