Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityBow/0,"sihest,head,19.0,-487.4,-6,0,4,1,1,0","sihest,neck,12.0,-446.4,-2,0,18,1,1,0","sihest,body,-0.8,-322.4,-3.5,0,15,1,1,0","sihest,arm_up,-85.0,-364.4,-33,0,14,1,1,0","sihest,arm_low,-148.0,-282.0,-24,0,12,1,1,0","noble2,fist,-164.8,-230.4,-4,0,14,1,1,0","sihest,arm_up,72.0,-369.4,30,1,22,1,1,0","sihest,arm_low,124.8,-377.6,135,1,22,1,1,0","noble2,fist,163.2,-417.2,139,0,27,1,1,0",,"sihest,leg_low,-49.0,-92.4,-9,0,23,1,1,0","sihest,foot,-42.8,-15.4,0,0,22,1,1,0",,"sihest,leg_low,60.0,-95.4,10.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-2.4,-142.0,-1,0,14,1,1,0","item,herb,176.4,-478.0,-8,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityBow/1,"sihest,head,77.0,-463.4,-16,0,4,1,1,0","sihest,neck,60.0,-430.4,-15,0,18,1,1,0","sihest,body,15.2,-308.4,-14.5,0,15,1,1,0","sihest,arm_up,-63.0,-368.4,-46,0,14,1,1,0","sihest,arm_low,-148.0,-300.0,-45,0,12,1,1,0","noble2,fist,-188.8,-258.4,-33,0,14,1,1,0","sihest,arm_up,116.0,-337.4,30,1,22,1,1,0","sihest,arm_low,182.8,-331.6,116,1,22,1,1,0","noble2,fist,235.2,-361.2,132,0,27,1,1,0",,"sihest,leg_low,-63.0,-98.4,-15,0,23,1,1,0","sihest,foot,-64.8,-21.4,-9,0,22,1,1,0",,"sihest,leg_low,52.0,-95.4,17.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-6.4,-146.0,-8,0,14,1,1,0","item,herb,248.4,-422.0,-15,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityBow/2,"sihest,head,109.0,-455.4,-23,0,4,1,1,0","sihest,neck,84.0,-414.4,-28,0,18,1,1,0","sihest,body,35.2,-304.4,-21.5,0,15,1,1,0","sihest,arm_up,-41.0,-380.4,-61,0,14,1,1,0","sihest,arm_low,-146.0,-336.0,-60,0,12,1,1,0","noble2,fist,-204.8,-306.4,-50,0,14,1,1,0","sihest,arm_up,136.0,-319.4,17,1,22,1,1,0","sihest,arm_low,202.8,-293.6,96,1,22,1,1,0","noble2,fist,263.2,-305.2,94,0,27,1,1,0",,"sihest,leg_low,-67.0,-96.4,-25,0,23,1,1,0","sihest,foot,-84.8,-23.4,-15,0,22,1,1,0",,"sihest,leg_low,52.0,-91.4,17.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-6.4,-146.0,-11,0,14,1,1,0","item,herb,296.4,-350.0,-38,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityBow/3,"sihest,head,137.0,-429.4,-34,0,4,1,1,0","sihest,neck,110.0,-396.4,-31,0,18,1,1,0","sihest,body,47.2,-292.4,-30.5,0,15,1,1,0","sihest,arm_up,-21.0,-388.4,-73,0,14,1,1,0","sihest,arm_low,-126.0,-364.0,-64,0,12,1,1,0","noble2,fist,-188.8,-336.4,-71,0,14,1,1,0","sihest,arm_up,148.0,-289.4,14,1,22,1,1,0","sihest,arm_low,220.8,-235.6,75,1,22,1,1,0","noble2,fist,281.2,-223.2,70,0,27,1,1,0",,"sihest,leg_low,-67.0,-96.4,-25,0,23,1,1,0","sihest,foot,-84.8,-23.4,-15,0,22,1,1,0",,"sihest,leg_low,52.0,-91.4,17.5,0,25,1,1,0","sihest,foot,90.2,-20.4,2,0,24,1,1,0",,,"sihest,skirt,-2.4,-138.0,-10,0,14,1,1,0","item,herb,335.2,-255.6,-53,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
CityBow/4,"sihest,head,149.0,-421.4,-43,0,4,1,1,0","sihest,neck,118.0,-394.4,-35,0,18,1,1,0","sihest,body,51.2,-288.4,-30.5,0,15,1,1,0","sihest,arm_up,-1.0,-390.4,-85,0,14,1,1,0","sihest,arm_low,-116.0,-394.0,-85,0,12,1,1,0","noble2,fist,-182.8,-386.4,-81,0,14,1,1,0","sihest,arm_up,144.0,-293.4,14,1,22,1,1,0","sihest,arm_low,212.8,-221.6,59,1,22,1,1,0","noble2,fist,269.2,-191.2,58,0,27,1,1,0",,"sihest,leg_low,-67.0,-96.4,-25,0,23,1,1,0","sihest,foot,-84.8,-23.4,-15,0,22,1,1,0",,"sihest,leg_low,58.0,-95.4,12.5,0,25,1,1,0","sihest,foot,90.2,-20.4,-1,0,24,1,1,0",,,"sihest,skirt,-2.4,-138.0,-7,0,14,1,1,0","item,herb,318.0,-211.6,-67,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"play_time_mod_1.5,hold",play_time_mod_0.7,
CityIdle/0,"sihest,head,3.0,-487.4,0,0,4,1,1,0","sihest,neck,0.0,-446.4,-2,0,18,1,1,0","sihest,body,-4.8,-322.4,-0.5,0,15,1,1,0","sihest,arm_up,-97.0,-364.4,-28,0,14,1,1,0","sihest,arm_low,-144.0,-278.0,-15,0,12,1,1,0","noble2,fist,-152.8,-214.4,11,0,14,1,1,0","sihest,arm_up,72.0,-369.4,30,1,22,1,1,0","sihest,arm_low,120.8,-383.6,155,1,22,1,1,0","noble2,fist,141.2,-437.2,171,0,27,1,1,0",,"sihest,leg_low,-49.0,-92.4,-9,0,23,1,1,0","sihest,foot,-42.8,-15.4,0,0,22,1,1,0",,"sihest,leg_low,60.0,-95.4,10.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-2.4,-146.0,-1,0,14,1,1,0","item,herb,116.4,-488.0,15,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"sihest,head,7.0,-487.4,-5,0,11,1,1,0","sihest,neck,4.0,-446.4,-2,0,18,1,1,0","sihest,body,-4.8,-322.4,-2.5,0,15,1,1,0","sihest,arm_up,-93.0,-360.4,-25,0,14,1,1,0","sihest,arm_low,-136.0,-270.0,-12,0,12,1,1,0","noble2,fist,-144.8,-210.4,11,0,14,1,1,0","sihest,arm_up,78.0,-369.4,34,1,22,1,1,0","sihest,arm_low,116.8,-393.6,173,1,0,1,1,0","noble2,fist,121.2,-455.2,-174.0,0,5,1,1,0",,"sihest,leg_low,-49.0,-92.4,-9,0,23,1,1,0","sihest,foot,-42.8,-15.4,0,0,22,1,1,0",,"sihest,leg_low,60.0,-95.4,10.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-2.4,-146.0,-1,0,14,1,1,0","item,herb,92.4,-496.0,27,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/2,"sihest,head,23.0,-487.4,-4,0,11,1,1,0","sihest,neck,14.0,-446.4,-4,0,18,1,1,0","sihest,body,-0.8,-322.4,-5.5,0,15,1,1,0","sihest,arm_up,-87.0,-360.4,-28,0,14,1,1,0","sihest,arm_low,-128.0,-270.0,-5,0,12,1,1,0","noble2,fist,-130.8,-210.4,17,0,14,1,1,0","sihest,arm_up,78.0,-369.4,43,1,22,1,1,0","sihest,arm_low,116.8,-393.6,-179.0,1,0,1,1,0","noble2,fist,109.2,-455.2,-154.0,0,5,1,1,0",,"sihest,leg_low,-49.0,-92.4,-9,0,23,1,1,0","sihest,foot,-42.8,-15.4,0,0,22,1,1,0",,"sihest,leg_low,60.0,-95.4,10.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-2.4,-146.0,-1,0,14,1,1,0","item,herb,66.4,-480.0,56,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.2,play_time_mod_1.5,
CityIdle/3,"sihest,head,19.0,-491.4,7,0,11,1,1,0","sihest,neck,14.0,-446.4,8,0,18,1,1,0","sihest,body,-0.8,-322.4,-7.5,0,15,1,1,0","sihest,arm_up,-83.0,-360.4,-23,0,14,1,1,0","sihest,arm_low,-116.0,-270.0,1,0,12,1,1,0","noble2,fist,-114.8,-210.4,25,0,14,1,1,0","sihest,arm_up,86.0,-369.4,46,1,22,1,1,0","sihest,arm_low,116.8,-393.6,-176.0,1,0,1,1,0","noble2,fist,103.2,-449.2,-149.0,0,5,1,1,0",,"sihest,leg_low,-49.0,-92.4,-9,0,23,1,1,0","sihest,foot,-42.8,-15.4,0,0,22,1,1,0",,"sihest,leg_low,60.0,-95.4,10.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-2.4,-146.0,1,0,14,1,1,0","item,herb,62.4,-476.0,61,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
CityIdle/4,"sihest,head,19.0,-491.4,10,0,11,1,1,0","sihest,neck,16.0,-446.4,4,0,18,1,1,0","sihest,body,-0.8,-322.4,-7.5,0,15,1,1,0","sihest,arm_up,-83.0,-360.4,-23,0,14,1,1,0","sihest,arm_low,-116.0,-270.0,1,0,12,1,1,0","noble2,fist,-114.8,-210.4,25,0,14,1,1,0","sihest,arm_up,86.0,-369.4,46,1,22,1,1,0","sihest,arm_low,116.8,-393.6,-176.0,1,0,1,1,0","noble2,fist,103.2,-449.2,-149.0,0,5,1,1,0",,"sihest,leg_low,-49.0,-92.4,-9,0,23,1,1,0","sihest,foot,-42.8,-15.4,0,0,22,1,1,0",,"sihest,leg_low,60.0,-95.4,10.5,0,25,1,1,0","sihest,foot,90.2,-24.4,5,0,24,1,1,0",,,"sihest,skirt,-2.4,-146.0,1,0,14,1,1,0","item,herb,62.4,-480.0,55,0,8,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
