Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Hban_club,Head,-1.0,-517.4,-3,0,4,1,1,0","Hban_club,Neck,4.0,-456.4,-2,0,4,1,1,0","Hban_club,Body,-0.8,-358.4,-1.5,0,5,1,1,0","Hban_club,Arm Up,-103.0,-424.4,-83,0,7,1,1,0","Hban_club,Arm Low,-204.4,-420.8,-89,0,9,1,1,0","Hban_bow,Fist,-263.6,-418.8,-95,0,8,1,1,0","Hban_club,Arm Up,101.2,-430.0,84,1,13,1,1,0","Hban_club,Arm Low,196.4,-424.8,86,1,16,1,1,0","Hban_bow,Fist Back,254.8,-422.0,78,0,15,1,1,0","Hban_club,Leg Up,-45.0,-212.4,-15.7,0,8,1,1,0","Hban_club,Leg Low,-81.0,-104.4,-15,0,10,1,1,0","Hban_club,Foot,-82.8,-13.4,-1.6,0,13,1,1,0","Hban_club,Leg Up,48.0,-198.4,20.7,0,12,1,1,0","Hban_club,Leg Low,74.0,-97.4,15.5,0,13,1,1,0","Hban_club,Foot,114.2,-14.4,4.5,0,15,1,1,0",,,"Hban_club,Headtail,-57.2,-504.8,6,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/0,"Hban_club,Head,-97.0,-511.4,26.5,0,4,1,1,0","Hban_club,Neck,-62.0,-466.4,21,0,4,1,1,0","Hban_club,Body,-36.8,-364.4,17.5,0,5,1,1,0","Hban_club,Arm Up,-145.0,-382.4,-44.1,0,7,1,1,0","Hban_club,Arm Low,-203.8,-316.4,-36.6,0,8,1,1,0","Hban_bow,Open,-232.4,-258.8,-33.4,0,7,1,1,0","Hban_club,Arm Up,44.0,-443.4,72.9,1,13,1,1,0","Hban_club,Arm Low,134.4,-427.6,93.9,1,16,1,1,0","Hban_bow,Fist Back,187.6,-444.8,104.5,0,15,1,1,0","Hban_club,Leg Up,-33.0,-212.4,-2.7,0,8,1,1,0","Hban_club,Leg Low,-65.0,-106.4,-25,0,10,1,1,0","Hban_club,Foot,-76.8,-17.4,-3.6,0,13,1,1,0","Hban_club,Leg Up,62.0,-234.4,41.2,0,12,1,1,0","Hban_club,Leg Low,106.0,-143.4,20,0,13,1,1,0","Hban_club,Foot,158.8,-70.0,18,0,15,1,1,0","Hban_club,Base,132.0,-521.2,-151.2,0,19,1,1,0",,"Hban_club,Headtail,-144.0,-473.6,28,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/1,"Hban_club,Head,-195.0,-435.4,52,0,4,1,1,0","Hban_club,Neck,-144.0,-408.4,43.5,0,4,1,1,0","Hban_club,Body,-76.8,-336.4,42,0,5,1,1,0","Hban_club,Arm Up,-163.0,-302.4,4.6,0,7,1,1,0","Hban_club,Arm Low,-134.8,-208.8,29.8,0,10,1,1,0","Hban_bow,Open,-97.6,-163.2,34.9,0,7,1,1,0","Hban_club,Arm Up,-52.0,-460.4,134,1,13,1,1,0","Hban_club,Arm Low,-3.6,-546.4,171,1,16,1,1,0","Hban_bow,Fist Back,3.6,-592.4,158.1,0,15,1,1,0","Hban_club,Leg Up,-9.0,-214.4,37.5,0,8,1,1,0","Hban_club,Leg Low,22.0,-113.6,4,0,10,1,1,0","Hban_club,Foot,49.6,-28.4,2.4,0,13,1,1,0","Hban_club,Leg Up,42.0,-256.4,52.2,0,12,1,1,0","Hban_club,Leg Low,112.0,-169.4,33,0,13,1,1,0","Hban_club,Foot,176.8,-108.0,26.5,0,15,1,1,0","Hban_club,Base,-83.2,-620.0,-108.7,0,19,1,1,0",,"Hban_club,Headtail_speed1,-246.8,-384.4,51,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
Die/2,"Hban_club,Head,-195.0,-435.4,55,0,4,1,1,0","Hban_club,Neck,-144.0,-408.4,43.5,0,4,1,1,0","Hban_club,Body,-76.8,-336.4,42,0,5,1,1,0","Hban_club,Arm Up,-171.0,-310.4,-1.4,0,7,1,1,0","Hban_club,Arm Low,-146.8,-214.8,31.8,0,10,1,1,0","Hban_bow,Open,-93.6,-161.2,43.9,0,7,1,1,0","Hban_club,Arm Up,-60.0,-454.4,146,1,13,1,1,0","Hban_club,Arm Low,-11.6,-548.4,165,1,16,1,1,0","Hban_bow,Open Back,-14.4,-604.4,169.1,1,15,1,1,0","Hban_club,Leg Up,-13.0,-214.4,33.5,0,8,1,1,0","Hban_club,Leg Low,14.0,-113.6,1,0,10,1,1,0","Hban_club,Foot,35.6,-28.4,2.4,0,13,1,1,0","Hban_club,Leg Up,42.0,-254.4,58.2,0,12,1,1,0","Hban_club,Leg Low,110.0,-173.4,36,0,13,1,1,0","Hban_club,Foot,176.8,-106.0,26.5,0,15,1,1,0","Hban_club,Base,-89.2,-654.0,-107.7,0,19,1,1,0",,"Hban_club,Headtail_speed1,-240.8,-384.4,51,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/3,"Hban_club,Head,-256.8,-373.8,70,0,4,1,1,0","Hban_club,Neck,-197.6,-365.6,62.5,0,4,1,1,0","Hban_club,Body,-106.8,-320.4,63,0,5,1,1,0","Hban_club,Arm Up,-191.0,-252.4,5.6,0,7,1,1,0","Hban_club,Arm Low,-146.8,-156.8,46.8,0,10,1,1,0","Hban_bow,Open,-85.6,-121.2,55.9,0,7,1,1,0","Hban_club,Arm Up,-120.0,-446.4,154,1,13,1,1,0","Hban_club,Arm Low,-86.4,-535.2,165,1,16,1,1,0","Hban_bow,Open Back,-91.6,-604.0,-177.9,1,15,1,1,0","Hban_club,Leg Up,-7.0,-226.4,46.5,0,8,1,1,0","Hban_club,Leg Low,38.0,-133.6,13,0,10,1,1,0","Hban_club,Foot,79.6,-56.4,14.4,0,13,1,1,0","Hban_club,Leg Up,42.0,-276.4,66.2,0,12,1,1,0","Hban_club,Leg Low,120.0,-207.4,36,0,13,1,1,0","Hban_club,Foot,186.8,-142.0,26.5,0,15,1,1,0","Hban_club,Base,-142.0,-708.4,-135,0,19,1,1,0",,"Hban_club,Headtail_speed1,-296.4,-316.8,57,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/4,"Hban_club,Head,-256.8,-311.8,64,0,4,1,1,0","Hban_club,Neck,-199.6,-299.6,66.5,0,4,1,1,0","Hban_club,Body,-106.8,-258.4,71,0,5,1,1,0","Hban_club,Arm Up,-179.0,-182.4,19.6,0,7,1,1,0","Hban_club,Arm Low,-114.8,-100.8,62.8,0,10,1,1,0","Hban_bow,Open,-43.6,-73.2,62.9,0,7,1,1,0","Hban_club,Arm Up,-142.0,-362.4,162,1,13,1,1,0","Hban_club,Arm Low,-120.4,-451.2,171,1,16,1,1,0","Hban_bow,Open Back,-125.6,-514.0,176.1,1,15,1,1,0","Hban_club,Leg Up,1.0,-194.4,64.5,0,8,1,1,0","Hban_club,Leg Low,86.0,-123.6,44,0,10,1,1,0","Hban_club,Foot,160.8,-69.6,33.4,0,13,1,1,0","Hban_club,Leg Up,42.0,-252.4,81.2,0,12,1,1,0","Hban_club,Leg Low,132.0,-215.4,61,0,13,1,1,0","Hban_club,Foot,213.2,-179.2,43.5,0,15,1,1,0","Hban_club,Base,-160.0,-632.4,-106,0,19,1,1,0",,"Hban_club,Headtail_speed1,-290.4,-262.8,57,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/5,"Hban_club,Head,-231.6,-73.2,121.7,0,4,1,1,0","Hban_club,Neck,-191.6,-106.8,105.6,0,4,1,1,0","Hban_club,Body,-88.8,-124.4,101.5,0,5,1,1,0","Hban_club,Arm Up,-110.0,-34.0,57,0,6,1,1,0","Hban_club,Arm Low,-24.0,-38.8,127.1,0,8,1,1,0","Hban_bow,Open,16.8,-82.4,128.6,0,6,1,1,0","Hban_club,Arm Up,-172.8,-189.6,173.8,1,13,1,1,0","Hban_club,Arm Low,-169.6,-286.4,178.2,1,16,1,1,0","Hban_bow,Open Back,-174.0,-341.2,168.6,1,15,1,1,0","Hban_club,Leg Up,72.8,-104.4,89.1,0,8,1,1,0","Hban_club,Leg Low,161.6,-84.0,71.2,0,10,1,1,0","Hban_club,Foot,255.2,-64.8,48,0,13,1,1,0","Hban_club,Leg Up,32.0,-192.4,128.7,0,12,1,1,0","Hban_club,Leg Low,114.8,-226.0,101.8,0,13,1,1,0","Hban_club,Foot,194.4,-265.2,102,0,15,1,1,0","Hban_club,Base,-215.6,-482.8,-79,0,19,1,1,0",,"Hban_club,Headtail_speed1,-232.8,-16.4,75,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/6,"Hban_club,Head,-239.6,-77.2,96.7,0,4,1,1,0","Hban_club,Neck,-185.6,-94.8,90.6,0,4,1,1,0","Hban_club,Body,-86.8,-106.4,95.5,0,5,1,1,0","Hban_club,Arm Up,-112.0,-24.0,61,0,6,1,1,0","Hban_club,Arm Low,-32.0,-22.8,116.1,0,8,1,1,0","Hban_bow,Open,16.8,-56.4,102.6,0,6,1,1,0","Hban_club,Arm Up,-172.8,-181.6,164.8,1,13,1,1,0","Hban_club,Arm Low,-153.6,-270.4,170.2,1,16,1,1,0","Hban_bow,Open Back,-148.0,-325.2,161.6,1,15,1,1,0","Hban_club,Leg Up,72.8,-80.4,85.1,0,8,1,1,0","Hban_club,Leg Low,161.6,-58.0,69.2,0,10,1,1,0","Hban_club,Foot,251.2,-40.8,48,0,13,1,1,0","Hban_club,Leg Up,32.0,-170.4,120.7,0,12,1,1,0","Hban_club,Leg Low,128.8,-190.0,91.8,0,13,1,1,0","Hban_club,Foot,210.4,-211.2,97,0,15,1,1,0","Hban_club,Base,-215.6,-428.8,-35,0,19,1,1,0",,"Hban_club,Headtail_speed1,-240.8,-26.4,65,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/7,"Hban_club,Head,-239.6,-115.2,87.2,0,4,1,1,0","Hban_club,Neck,-191.6,-112.8,85.6,0,4,1,1,0","Hban_club,Body,-88.8,-82.4,76,0,5,1,1,0","Hban_club,Arm Up,-132.0,-12.0,55,0,7,1,1,0","Hban_club,Arm Low,-38.0,15.2,90.1,0,9,1,1,0","Hban_bow,Open,24.0,8.0,93.1,0,6,1,1,0","Hban_club,Arm Up,-156.8,-147.6,143.3,1,13,1,1,0","Hban_club,Arm Low,-102.0,-226.8,140.5,1,16,1,1,0","Hban_bow,Open Back,-74.4,-270.0,132.6,1,15,1,1,0","Hban_club,Leg Up,54.8,-52.4,102.9,0,8,1,1,0","Hban_club,Leg Low,153.6,-62.0,93.1,0,10,1,1,0","Hban_club,Foot,242.4,-72.4,64.4,0,13,1,1,0","Hban_club,Leg Up,44.0,-114.4,134.2,0,12,1,1,0","Hban_club,Leg Low,126.0,-176.4,127.8,0,13,1,1,0","Hban_club,Foot,185.6,-236.4,108,0,15,1,1,0","Hban_club,Base,-226.8,-294.4,-2,0,3,1,1,0",,"Hban_club,Headtail_speed1,-254.4,-57.6,49,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die/8,"Hban_club,Head,-239.6,-101.2,94.2,0,4,1,1,0","Hban_club,Neck,-191.6,-112.8,79.6,0,4,1,1,0","Hban_club,Body,-88.8,-82.4,76,0,5,1,1,0","Hban_club,Arm Up,-128.0,-16.0,61,0,7,1,1,0","Hban_club,Arm Low,-42.0,3.2,94.1,0,9,1,1,0","Hban_bow,Open,12.0,-8.0,93.1,0,6,1,1,0","Hban_club,Arm Up,-156.8,-147.6,143.3,1,13,1,1,0","Hban_club,Arm Low,-88.0,-216.8,120.5,1,16,1,1,0","Hban_bow,Open Back,-38.4,-246.0,100.6,1,15,1,1,0","Hban_club,Leg Up,54.8,-52.4,112.9,0,8,1,1,0","Hban_club,Leg Low,153.6,-70.0,104.1,0,10,1,1,0","Hban_club,Foot,242.4,-88.4,64.4,0,13,1,1,0","Hban_club,Leg Up,44.0,-114.4,139.2,0,12,1,1,0","Hban_club,Leg Low,114.0,-168.4,135.8,0,13,1,1,0","Hban_club,Foot,167.6,-236.4,121,0,15,1,1,0","Hban_club,Base,-378.8,-200.4,59,0,3,1,1,0",,"Hban_club,Headtail_speed1,-250.4,-55.6,57,0,9,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
