Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Civilian1,Head,3.0,-529.4,-9,0,7,1,1,0",,"Civilian1,Body,-0.8,-372.4,-1.5,0,6,1,1,0","Civilian1,Arm Up,112.8,-408.8,-4,0,4,1,1,0","Civilian1,Arm Low,194.4,-348.8,2,0,10,1,1,0","Civilian1,Open,218.0,-249.2,-25,0,16,1,1,0","Civilian1,Arm Up,69.6,-367.6,100,1,13,1,1,0","Civilian1,Back Arm Low,138.8,-285.6,-31,0,15,1,1,0","Civilian1,Open,277.6,-346.8,2,0,14,1,1,0","Civilian1,Leg Up,-53.0,-206.4,-12.7,0,8,1,1,0","Civilian1,Leg Low,-97.0,-84.4,-21,0,10,1,1,0","Civilian1,Foot,-88.8,-5.4,-0.6,0,13,1,1,0","Civilian1,Leg Up,46.0,-214.4,23.7,0,12,1,1,0","Civilian1,Leg Low,80.0,-91.4,12.5,0,13,1,1,0","Civilian1,Foot,128.2,-14.4,7.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-4.0,-218.4,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Civilian1,Head,3.0,-541.4,-10,0,7,1,1,0",,"Civilian1,Body,-0.8,-380.4,-1.5,0,6,1,1,0","Civilian1,Arm Up,92.8,-398.8,-36,0,4,1,1,0","Civilian1,Arm Low,135.6,-291.2,-41,0,9,1,1,0","Civilian1,Open,204.0,-233.2,-36,0,16,1,1,0","Civilian1,Arm Up,49.6,-385.6,76,1,13,1,1,0","Civilian1,Back Arm Low,90.8,-286.8,-56,0,16,1,1,0","Civilian1,Open,146.8,-228.0,-41,0,18,1,1,0","Civilian1,Leg Up,-43.0,-214.4,-4.7,0,8,1,1,0","Civilian1,Leg Low,-69.0,-92.4,-15,0,10,1,1,0","Civilian1,Foot,-52.8,-5.4,-0.6,0,13,1,1,0","Civilian1,Leg Up,36.0,-216.4,15.7,0,12,1,1,0","Civilian1,Leg Low,56.0,-99.4,2.5,0,13,1,1,0","Civilian1,Foot,90.2,-8.4,3.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-4.0,-226.4,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/1,"Civilian1,Head,9.0,-535.4,-16,0,7,1,1,0",,"Civilian1,Body,3.2,-376.4,-4.5,0,6,1,1,0","Civilian1,Arm Up,86.8,-382.8,-44,0,4,1,1,0","Civilian1,Arm Low,113.6,-267.2,-49,0,10,1,1,0","Civilian1,Open,164.0,-207.2,-49,0,16,1,1,0","Civilian1,Arm Up,49.6,-385.6,76,1,13,1,1,0","Civilian1,Back Arm Low,72.8,-274.8,-63,0,16,1,1,0","Civilian1,Open,118.8,-204.0,-51,0,18,1,1,0","Civilian1,Leg Up,-43.0,-214.4,-4.7,0,8,1,1,0","Civilian1,Leg Low,-69.0,-92.4,-15,0,10,1,1,0","Civilian1,Foot,-52.8,-5.4,-0.6,0,13,1,1,0","Civilian1,Leg Up,36.0,-216.4,15.7,0,12,1,1,0","Civilian1,Leg Low,56.0,-99.4,2.5,0,13,1,1,0","Civilian1,Foot,90.2,-8.4,3.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-4.0,-226.4,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/2,"Civilian1,Head,25.0,-529.4,-19,0,7,1,1,0",,"Civilian1,Body,9.2,-372.4,-7.5,0,6,1,1,0","Civilian1,Arm Up,82.8,-376.8,-49,0,4,1,1,0","Civilian1,Arm Low,109.6,-261.2,-51,0,10,1,1,0","Civilian1,Open,164.0,-191.2,-54,0,16,1,1,0","Civilian1,Arm Up,49.6,-385.6,76,1,13,1,1,0","Civilian1,Back Arm Low,68.8,-274.8,-66,0,16,1,1,0","Civilian1,Open,106.8,-200.0,-56,0,18,1,1,0","Civilian1,Leg Up,-43.0,-214.4,-2.7,0,8,1,1,0","Civilian1,Leg Low,-69.0,-92.4,-15,0,10,1,1,0","Civilian1,Foot,-52.8,-5.4,-0.6,0,13,1,1,0","Civilian1,Leg Up,36.0,-216.4,15.7,0,12,1,1,0","Civilian1,Leg Low,52.0,-99.4,2.5,0,13,1,1,0","Civilian1,Foot,90.2,-8.4,3.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-4.0,-226.4,-2,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Idle/3,"Civilian1,Head,9.0,-535.4,-16,0,7,1,1,0",,"Civilian1,Body,3.2,-376.4,-4.5,0,6,1,1,0","Civilian1,Arm Up,86.8,-382.8,-44,0,4,1,1,0","Civilian1,Arm Low,113.6,-267.2,-49,0,10,1,1,0","Civilian1,Open,164.0,-207.2,-49,0,16,1,1,0","Civilian1,Arm Up,49.6,-385.6,76,1,13,1,1,0","Civilian1,Back Arm Low,72.8,-274.8,-63,0,16,1,1,0","Civilian1,Open,118.8,-204.0,-51,0,18,1,1,0","Civilian1,Leg Up,-43.0,-214.4,-4.7,0,8,1,1,0","Civilian1,Leg Low,-69.0,-92.4,-15,0,10,1,1,0","Civilian1,Foot,-52.8,-5.4,-0.6,0,13,1,1,0","Civilian1,Leg Up,36.0,-216.4,15.7,0,12,1,1,0","Civilian1,Leg Low,56.0,-99.4,2.5,0,13,1,1,0","Civilian1,Foot,90.2,-8.4,3.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-4.0,-226.4,0,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
Run/0,"Civilian1,Head,19.0,-533.4,-11,0,7,1,1,0",,"Civilian1,Body,11.2,-374.4,-6.5,0,6,1,1,0","Civilian1,Arm Up,136.8,-460.8,34,0,4,1,1,0","Civilian1,Arm Low,255.2,-466.0,28,0,9,1,1,0","Civilian1,Open,332.0,-504.8,30,0,16,1,1,0","Civilian1,Arm Up,63.6,-397.6,90,1,13,1,1,0","Civilian1,Back Arm Low,134.8,-290.8,-40,0,16,1,1,0","Civilian1,Open,202.0,-239.2,-43,0,18,1,1,0","Civilian1,Leg Up,-51.0,-214.4,-16.7,0,8,1,1,0","Civilian1,Leg Low,-103.0,-102.4,-28,0,10,1,1,0","Civilian1,Foot,-104.8,-11.4,-10.6,0,13,1,1,0","Civilian1,Leg Up,32.0,-216.4,30.7,0,12,1,1,0","Civilian1,Leg Low,70.0,-105.4,8.5,0,13,1,1,0","Civilian1,Foot,112.2,-16.4,-6.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-6.0,-226.4,1,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
Run/1,"Civilian1,Head,25.0,-533.4,-13,0,7,1,1,0",,"Civilian1,Body,11.2,-374.4,-9.5,0,6,1,1,0","Civilian1,Arm Up,136.8,-432.8,13,0,4,1,1,0","Civilian1,Arm Low,251.2,-386.0,2,0,9,1,1,0","Civilian1,Open,334.0,-384.8,-6,0,16,1,1,0","Civilian1,Arm Up,69.6,-397.6,101,1,13,1,1,0","Civilian1,Back Arm Low,158.8,-292.8,-33,0,16,1,1,0","Civilian1,Open,230.0,-247.2,-32,0,18,1,1,0","Civilian1,Leg Up,-37.0,-214.4,0.3,0,8,1,1,0","Civilian1,Leg Low,-65.0,-102.4,-20,0,10,1,1,0","Civilian1,Foot,-64.8,-7.4,-15.6,0,13,1,1,0","Civilian1,Leg Up,28.0,-216.4,18.7,0,12,1,1,0","Civilian1,Leg Low,38.0,-105.4,-9.5,0,13,1,1,0","Civilian1,Foot,56.2,-12.4,-9.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-10.0,-226.4,-3,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
Run/2,"Civilian1,Head,37.0,-533.4,-18,0,7,1,1,0",,"Civilian1,Body,15.2,-374.4,-9.5,0,6,1,1,0","Civilian1,Arm Up,136.8,-400.8,-8,0,4,1,1,0","Civilian1,Arm Low,225.2,-324.0,-15,0,9,1,1,0","Civilian1,Open,304.0,-304.8,-13,0,16,1,1,0","Civilian1,Arm Up,69.6,-397.6,113,1,13,1,1,0","Civilian1,Back Arm Low,178.8,-306.8,-28,0,16,1,1,0","Civilian1,Open,258.0,-275.2,-13,0,18,1,1,0","Civilian1,Leg Up,-31.0,-208.4,17.3,0,8,1,1,0","Civilian1,Leg Low,-37.0,-102.4,-14,0,10,1,1,0","Civilian1,Foot,-26.8,-11.4,-15.6,0,13,1,1,0","Civilian1,Leg Up,16.0,-216.4,3.7,0,12,1,1,0","Civilian1,Leg Low,-6.0,-105.4,-22.5,0,13,1,1,0","Civilian1,Foot,-5.8,-18.4,-19.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-14.0,-226.4,-11,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
Run/3,"Civilian1,Head,49.0,-531.4,-24,0,7,1,1,0",,"Civilian1,Body,15.2,-374.4,-11.5,0,6,1,1,0","Civilian1,Arm Up,136.8,-388.8,-21,0,4,1,1,0","Civilian1,Arm Low,213.2,-292.0,-24,0,9,1,1,0","Civilian1,Open,288.0,-260.8,-15,0,16,1,1,0","Civilian1,Arm Up,85.6,-413.6,139,1,13,1,1,0","Civilian1,Back Arm Low,220.8,-402.8,17,0,16,1,1,0","Civilian1,Open,302.8,-435.2,24,0,18,1,1,0","Civilian1,Leg Up,-13.0,-210.4,38.3,0,8,1,1,0","Civilian1,Leg Low,11.0,-108.4,-8,0,10,1,1,0","Civilian1,Foot,23.2,-17.4,-17.6,0,13,1,1,0","Civilian1,Leg Up,-4.0,-216.4,-22.3,0,12,1,1,0","Civilian1,Leg Low,-66.0,-113.4,-41.5,0,13,1,1,0","Civilian1,Foot,-93.8,-34.4,-32.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-18.0,-226.4,-16,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
Run/4,"Civilian1,Head,37.0,-533.4,-18,0,7,1,1,0",,"Civilian1,Body,15.2,-374.4,-9.5,0,6,1,1,0","Civilian1,Arm Up,136.8,-400.8,-8,0,4,1,1,0","Civilian1,Arm Low,225.2,-324.0,-15,0,9,1,1,0","Civilian1,Open,304.0,-304.8,-13,0,16,1,1,0","Civilian1,Arm Up,69.6,-397.6,113,1,13,1,1,0","Civilian1,Back Arm Low,178.8,-306.8,-28,0,16,1,1,0","Civilian1,Open,258.0,-275.2,-13,0,18,1,1,0","Civilian1,Leg Up,-31.0,-208.4,17.3,0,8,1,1,0","Civilian1,Leg Low,-37.0,-102.4,-14,0,10,1,1,0","Civilian1,Foot,-26.8,-11.4,-15.6,0,13,1,1,0","Civilian1,Leg Up,16.0,-216.4,3.7,0,12,1,1,0","Civilian1,Leg Low,-6.0,-105.4,-22.5,0,13,1,1,0","Civilian1,Foot,-5.8,-18.4,-19.5,0,15,1,1,0",,,"Civilian1,Lower_shirt,-14.0,-226.4,-11,0,7,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,
