Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"sasinola,head,-1.0,-523.4,0,0,4,1,1,0","sasinola,neck,-2.0,-474.4,4,0,8,1,1,0","sasinola,body,-6.4,-354.8,-7,0,6,1,1,0","sasinola,arm_up,-81.0,-378.4,-4,0,8,1,1,0","sasinola,arm_low,-105.6,-288.0,12,0,3,1,1,0","white_human,fist,-115.6,-209.2,-7,0,3,1,1,0","sasinola,arm_up,63.2,-406.4,61,1,18,1,1,0","sasinola,arm_low,156.8,-398.8,79,1,8,1,1,0","white_human,fist,226.8,-418.8,105,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,2,0,8,1,1,0","item,health_potion,236.8,-389.6,12,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"sasinola,head,1.0,-523.4,-2,0,4,1,1,0","sasinola,neck,-2.0,-474.4,4,0,8,1,1,0","sasinola,body,-6.4,-354.8,-7,0,6,1,1,0","sasinola,arm_up,-79.0,-380.4,-2,0,8,1,1,0","sasinola,arm_low,-99.6,-294.0,18,0,3,1,1,0","white_human,fist,-103.6,-219.2,2,0,3,1,1,0","sasinola,arm_up,63.2,-410.4,64,1,18,1,1,0","sasinola,arm_low,156.8,-414.8,88,1,8,1,1,0","white_human,fist,226.8,-440.8,105,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,2,0,8,1,1,0","item,health_potion,236.8,-411.6,12,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/2,"sasinola,head,27.0,-523.4,-6,0,4,1,1,0","sasinola,neck,24.0,-486.4,4,0,8,1,1,0","sasinola,body,3.6,-354.8,-11,0,6,1,1,0","sasinola,arm_up,-67.0,-382.4,-4,0,8,1,1,0","sasinola,arm_low,-87.6,-294.0,19,0,3,1,1,0","white_human,fist,-93.6,-217.2,1,0,3,1,1,0","sasinola,arm_up,63.2,-406.4,61,1,18,1,1,0","sasinola,arm_low,156.8,-416.8,100,1,8,1,1,0","white_human,fist,222.8,-456.8,127,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,0,0,8,1,1,0","item,health_potion,242.8,-441.6,23,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/3,"sasinola,head,27.0,-523.4,-8,0,4,1,1,0","sasinola,neck,24.0,-486.4,4,0,8,1,1,0","sasinola,body,3.6,-354.8,-11,0,6,1,1,0","sasinola,arm_up,-67.0,-382.4,-7,0,8,1,1,0","sasinola,arm_low,-87.6,-294.0,22,0,3,1,1,0","white_human,fist,-85.6,-217.2,2,0,3,1,1,0","sasinola,arm_up,63.2,-406.4,61,1,18,1,1,0","sasinola,arm_low,150.8,-420.8,99,1,8,1,1,0","white_human,fist,214.8,-458.8,107,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,-1,0,8,1,1,0","item,health_potion,220.8,-435.6,-4,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/4,"sasinola,head,27.0,-523.4,-6,0,4,1,1,0","sasinola,neck,24.0,-486.4,4,0,8,1,1,0","sasinola,body,3.6,-354.8,-11,0,6,1,1,0","sasinola,arm_up,-67.0,-382.4,-5,0,8,1,1,0","sasinola,arm_low,-81.6,-294.0,27,0,3,1,1,0","white_human,fist,-71.6,-217.2,9,0,3,1,1,0","sasinola,arm_up,63.2,-406.4,61,1,18,1,1,0","sasinola,arm_low,154.8,-424.8,106,1,8,1,1,0","white_human,fist,214.8,-474.8,127,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,0,0,8,1,1,0","item,health_potion,230.8,-455.6,23,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/5,"sasinola,head,27.0,-523.4,-8,0,4,1,1,0","sasinola,neck,24.0,-486.4,4,0,8,1,1,0","sasinola,body,3.6,-354.8,-11,0,6,1,1,0","sasinola,arm_up,-67.0,-382.4,-7,0,8,1,1,0","sasinola,arm_low,-87.6,-294.0,22,0,3,1,1,0","white_human,fist,-85.6,-217.2,2,0,3,1,1,0","sasinola,arm_up,63.2,-406.4,61,1,18,1,1,0","sasinola,arm_low,154.8,-416.8,97,1,8,1,1,0","white_human,fist,216.8,-446.8,107,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,0,0,8,1,1,0","item,health_potion,230.8,-427.6,3,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/6,"sasinola,head,27.0,-523.4,-8,0,4,1,1,0","sasinola,neck,24.0,-486.4,4,0,8,1,1,0","sasinola,body,3.6,-354.8,-11,0,6,1,1,0","sasinola,arm_up,-67.0,-382.4,-7,0,8,1,1,0","sasinola,arm_low,-87.6,-294.0,22,0,3,1,1,0","white_human,fist,-85.6,-217.2,2,0,3,1,1,0","sasinola,arm_up,63.2,-406.4,61,1,18,1,1,0","sasinola,arm_low,150.8,-420.8,99,1,8,1,1,0","white_human,fist,214.8,-458.8,107,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,0,0,8,1,1,0","item,health_potion,220.8,-435.6,-11,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/7,"sasinola,head,19.0,-525.4,-5,0,4,1,1,0","sasinola,neck,14.0,-486.4,8,0,8,1,1,0","sasinola,body,-0.4,-354.8,-10,0,6,1,1,0","sasinola,arm_up,-67.0,-382.4,-4,0,8,1,1,0","sasinola,arm_low,-91.6,-294.0,13,0,3,1,1,0","white_human,fist,-103.6,-217.2,-7,0,3,1,1,0","sasinola,arm_up,63.2,-408.4,53,1,18,1,1,0","sasinola,arm_low,154.8,-410.8,99,1,8,1,1,0","white_human,fist,226.8,-458.8,114,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,2,0,8,1,1,0","item,health_potion,236.8,-437.6,15,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/8,"sasinola,head,13.0,-523.4,1,0,4,1,1,0","sasinola,neck,14.0,-486.4,8,0,8,1,1,0","sasinola,body,-0.4,-354.8,-8,0,6,1,1,0","sasinola,arm_up,-75.0,-386.4,-12,0,8,1,1,0","sasinola,arm_low,-109.6,-292.0,12,0,3,1,1,0","white_human,fist,-121.6,-215.2,-9,0,3,1,1,0","sasinola,arm_up,57.2,-406.4,49,1,18,1,1,0","sasinola,arm_low,154.8,-402.8,91,1,8,1,1,0","white_human,fist,226.8,-438.8,114,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,0,0,8,1,1,0","item,health_potion,236.8,-417.6,15,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityTalk/0,"sasinola,head,-5.0,-523.4,2,0,4,1,1,0","sasinola,neck,-2.0,-474.4,4,0,8,1,1,0","sasinola,body,-10.4,-354.8,-5,0,6,1,1,0","sasinola,arm_up,-83.0,-378.4,-4,0,8,1,1,0","sasinola,arm_low,-109.6,-288.0,15,0,3,1,1,0","white_human,fist,-119.6,-209.2,-7,0,3,1,1,0","sasinola,arm_up,63.2,-404.4,46,1,18,1,1,0","sasinola,arm_low,156.8,-376.8,66,1,8,1,1,0","white_human,fist,232.8,-380.8,98,0,3,1,1,0","sasinola,leg_up,-47.0,-216.4,-6.2,0,8,1,1,0","sasinola,leg_low,-55.0,-92.4,-9,0,10,1,1,0","sasinola,foot,-42.8,-15.4,-3.1,0,13,1,1,0","sasinola,leg_up,24.0,-222.4,21.7,0,12,1,1,0","sasinola,leg_low,48.0,-93.4,8,0,13,1,1,0","sasinola,foot,76.2,-22.4,2,0,15,1,1,0",,,"sasinola,skirt,4.0,-214.4,0,0,8,1,1,0","item,health_potion,238.8,-355.6,2,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_0.7,
