Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
CityIdle/0,"Vurus,Head,7.0,-581.4,0,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,-2.8,-394.4,-1.5,0,15,1,1,0","Vurus,Arm Up,-85.0,-440.4,-8,0,13,1,1,0","Vurus,Arm Low,-48.8,-382.4,68,0,2,1,1,0","White_human,Fist,20.0,-362.0,85,0,3,1,1,0","Vurus,Arm Up Left,90.0,-447.4,21,1,22,1,1,0","Vurus,Arm Low Left,135.2,-352.0,24,1,24,1,1,0","White_human,Fist,160.4,-283.2,34,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-80.4,-397.6,-16,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityIdle/1,"Vurus,Head,7.0,-577.4,-2,0,4,1,1,0","Vurus,Neck,4.0,-502.4,-1,0,18,1,1,0","Vurus,Body,-2.8,-390.4,-1.5,0,15,1,1,0","Vurus,Arm Up,-85.0,-436.4,-8,0,13,1,1,0","Vurus,Arm Low,-48.8,-378.4,66,0,2,1,1,0","White_human,Fist,20.0,-358.0,82,0,3,1,1,0","Vurus,Arm Up Left,90.0,-443.4,21,1,22,1,1,0","Vurus,Arm Low Left,135.2,-348.0,24,1,24,1,1,0","White_human,Fist,160.4,-283.2,36,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-80.4,-393.6,-16,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,play_time_mod_1.5,
CityIdle/2,"Vurus,Head,11.0,-577.4,-4,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,-2.8,-390.4,-1.5,0,15,1,1,0","Vurus,Arm Up,-85.0,-436.4,-8,0,13,1,1,0","Vurus,Arm Low,-48.8,-378.4,65,0,2,1,1,0","White_human,Fist,20.0,-356.0,83,0,3,1,1,0","Vurus,Arm Up Left,90.0,-439.4,24,1,22,1,1,0","Vurus,Arm Low Left,133.2,-344.0,22,1,24,1,1,0","White_human,Fist,160.4,-283.2,40,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-82.4,-393.6,-17,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/3,"Vurus,Head,13.0,-573.4,-6,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,-2.8,-386.4,-1.5,0,15,1,1,0","Vurus,Arm Up,-85.0,-436.4,-8,0,13,1,1,0","Vurus,Arm Low,-48.8,-374.4,61,0,2,1,1,0","White_human,Fist,20.0,-350.0,81,0,3,1,1,0","Vurus,Arm Up Left,90.0,-439.4,26,1,22,1,1,0","Vurus,Arm Low Left,135.2,-344.0,21,1,24,1,1,0","White_human,Fist,160.4,-283.2,44,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-84.4,-389.6,-18,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2.5,play_time_mod_1.5,
CityIdle/4,"Vurus,Head,11.0,-577.4,-4,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,-2.8,-390.4,-1.5,0,15,1,1,0","Vurus,Arm Up,-85.0,-436.4,-8,0,13,1,1,0","Vurus,Arm Low,-48.8,-378.4,65,0,2,1,1,0","White_human,Fist,20.0,-356.0,83,0,3,1,1,0","Vurus,Arm Up Left,90.0,-439.4,24,1,22,1,1,0","Vurus,Arm Low Left,133.2,-344.0,22,1,24,1,1,0","White_human,Fist,160.4,-283.2,40,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-82.4,-393.6,-17,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,play_time_mod_1.5,
CityIdle/5,"Vurus,Head,7.0,-577.4,-2,0,4,1,1,0","Vurus,Neck,4.0,-502.4,-1,0,18,1,1,0","Vurus,Body,-2.8,-390.4,-1.5,0,15,1,1,0","Vurus,Arm Up,-85.0,-436.4,-8,0,13,1,1,0","Vurus,Arm Low,-48.8,-378.4,66,0,2,1,1,0","White_human,Fist,20.0,-358.0,82,0,3,1,1,0","Vurus,Arm Up Left,90.0,-443.4,21,1,22,1,1,0","Vurus,Arm Low Left,135.2,-348.0,24,1,24,1,1,0","White_human,Fist,160.4,-283.2,36,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-80.4,-393.6,-16,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
CityNod/0,"Vurus,Head,7.0,-581.4,0,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,-2.8,-394.4,-1.5,0,15,1,1,0","Vurus,Arm Up,-85.0,-444.4,-10,0,13,1,1,0","Vurus,Arm Low,-48.8,-386.4,66,0,2,1,1,0","White_human,Fist,20.0,-366.0,83,0,3,1,1,0","Vurus,Arm Up Left,90.0,-447.4,21,1,22,1,1,0","Vurus,Arm Low Left,131.2,-352.0,24,1,24,1,1,0","White_human,Fist,160.4,-283.2,34,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-80.4,-401.6,-18,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityNod/1,"Vurus,Head,19.0,-575.4,-7,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,1.2,-394.4,-3.5,0,15,1,1,0","Vurus,Arm Up,-81.0,-444.4,-12,0,13,1,1,0","Vurus,Arm Low,-44.8,-386.4,64,0,2,1,1,0","White_human,Fist,24.0,-366.0,81,0,3,1,1,0","Vurus,Arm Up Left,90.0,-443.4,24,1,22,1,1,0","Vurus,Arm Low Left,131.2,-348.0,22,1,24,1,1,0","White_human,Fist,160.4,-283.2,38,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-76.4,-401.6,-20,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityNod/2,"Vurus,Head,33.0,-569.4,-17,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,5.2,-390.4,-5.5,0,15,1,1,0","Vurus,Arm Up,-77.0,-444.4,-14,0,13,1,1,0","Vurus,Arm Low,-40.8,-386.4,62,0,2,1,1,0","White_human,Fist,28.0,-366.0,79,0,3,1,1,0","Vurus,Arm Up Left,96.0,-437.4,21,1,22,1,1,0","Vurus,Arm Low Left,135.2,-344.0,19,1,24,1,1,0","White_human,Fist,160.4,-283.2,38,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-72.4,-401.6,-22,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CityNod/3,"Vurus,Head,19.0,-575.4,-7,0,4,1,1,0","Vurus,Neck,4.0,-506.4,-1,0,18,1,1,0","Vurus,Body,1.2,-394.4,-3.5,0,15,1,1,0","Vurus,Arm Up,-81.0,-444.4,-12,0,13,1,1,0","Vurus,Arm Low,-44.8,-386.4,64,0,2,1,1,0","White_human,Fist,24.0,-366.0,81,0,3,1,1,0","Vurus,Arm Up Left,90.0,-443.4,24,1,22,1,1,0","Vurus,Arm Low Left,131.2,-348.0,22,1,24,1,1,0","White_human,Fist,160.4,-283.2,38,1,27,1,1,0","Vurus,Leg Up,-53.0,-196.4,-8.2,0,17,1,1,0","Vurus,Leg Low,-63.0,-84.4,-9,0,23,1,1,0","Vurus,Foot,-60.8,-11.4,0,0,25,1,1,0","Vurus,Leg Up,48.0,-202.8,9,0,20,1,1,0","Vurus,Leg Low,64.0,-81.4,3.5,0,25,1,1,0","Vurus,Foot,86.2,-14.4,2,0,27,1,1,0",,,"Vurus,Cape,-76.4,-401.6,-20,0,4,1,1,0","Vurus,Cane,158.4,-140.8,0,0,30,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
