Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
PresetCombatAirSmallDamaged/4,"Rban_bow,Head,17.4,-111.4,-29,0,2,1,0","Rban_bow,Neck,10.4,-95.8,-15,0,4,1,0","Rban_bow,Body,2.6,-59.8,-12.5,0,5,1,0","Rban_bow,Arm Up,-11.6,-77.8,-49,0,5,1,0","Rban_bow,Arm Low,-25.8,-69.4,-36,0,4,1,0","Rban_bow,Fist,-34.8,-54.2,-61,0,9,1,0","Rban_bow,Arm Up,15.2,-75,47,1,13,1,0","Rban_bow,Arm Low,33.2,-69.6,92,1,13,1,0","Rban_bow,Fist,52,-69.8,127,1,19,1,0","Rban_bow,Leg Up,0.6,-33,113,0,4,1,0","Rban_bow,Leg Low,8.8,-24,-45,0,10,1,0","Rban_bow,Foot,2.6,-12,36.4,0,13,1,0","Rban_bow,Leg Up,9.2,-37,101,0,12,1,0","Rban_bow,Leg Low,23.6,-30.2,-49,0,13,1,0","Rban_bow,Foot,19.6,-16.2,0.5,0,15,1,0","Shortbow,Base,38.2,-75.8,-193,0,21,1,0","Shortbow,Quiver,-9,-70,6,0,17,1,0","Rban_bow,Ear,3,-153.2,49,0,0,1,0","Rban_bow,Ear_back,23.6,-153.2,17,0,12,1,0","Rban_bow,Tail,-28.8,-32,-23,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatAirSmallDamaged/5,"Rban_bow,Head,8.8,-117.8,-15,0,2,1,0","Rban_bow,Neck,4.8,-100.2,-9,0,4,1,0","Rban_bow,Body,-1,-59.2,-10.5,0,5,1,0","Rban_bow,Arm Up,-13.2,-89.2,-42,0,5,1,0","Rban_bow,Arm Low,-26.4,-74.8,-30,0,4,1,0","Rban_bow,Fist,-31.4,-61.6,-48,0,9,1,0","Rban_bow,Arm Up,18.6,-89.4,47,1,13,1,0","Rban_bow,Arm Low,36.6,-84,92,1,13,1,0","Rban_bow,Fist,55.4,-84.2,127,1,19,1,0","Rban_bow,Leg Up,0.6,-37,113,0,4,1,0","Rban_bow,Leg Low,8.8,-28,-45,0,10,1,0","Rban_bow,Foot,2.6,-16,36.4,0,13,1,0","Rban_bow,Leg Up,9.2,-41,101,0,12,1,0","Rban_bow,Leg Low,23.6,-34.2,-49,0,13,1,0","Rban_bow,Foot,19.6,-20.2,0.5,0,15,1,0","Shortbow,Base,39,-91.2,-182,0,21,1,0","Shortbow,Quiver,-8.6,-78.4,19,0,17,1,0","Rban_bow,Ear,-15.6,-153.6,62,0,0,1,0","Rban_bow,Ear_back,0,-156.6,48,0,12,1,0","Rban_bow,Tail,-30.4,-33.4,-5,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/0,"Rban_bow,Head,-34.6,-157.4,42,0,2,1,0","Rban_bow,Neck,-27.6,-142.8,43,0,4,1,0","Rban_bow,Body,-5.4,-115.8,38.5,0,5,1,0","Rban_bow,Arm Up,-38.6,-123.8,-55,0,5,1,0","Rban_bow,Arm Low,-53.8,-117.4,-60,0,4,1,0","Rban_bow,Fist,-62.8,-108.2,-84,0,9,1,0","Rban_bow,Arm Up,-2.8,-138,100,1,13,1,0","Rban_bow,Arm Low,14.2,-146.6,133,1,13,1,0","Rban_bow,Fist,30,-157.8,176,1,19,1,0","Rban_bow,Leg Up,-10.6,-69.2,-26.7,0,4,1,0","Rban_bow,Leg Low,-21,-39.2,2,0,10,1,0","Rban_bow,Foot,-24.4,-14.8,-34.6,0,13,1,0","Rban_bow,Leg Up,19.6,-88.6,63.7,0,12,1,0","Rban_bow,Leg Low,42.6,-70.4,17.5,0,13,1,0","Rban_bow,Foot,47.4,-44.8,-14.5,0,15,1,0","Shortbow,Base,13.2,-162.8,-175,0,21,1,0","Shortbow,Quiver,-24,-124,50,0,17,1,0","Rban_bow,Ear,-77,-172.2,99,0,0,1,0","Rban_bow,Ear_back,-61.4,-175.2,85,0,12,1,0","Rban_bow,Tail,-24.8,-90,-10,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/1,"Rban_bow,Head,-28.6,-188.4,42,0,2,1,0","Rban_bow,Neck,-21.6,-173.8,43,0,4,1,0","Rban_bow,Body,0.6,-146.8,38.5,0,5,1,0","Rban_bow,Arm Up,-32.6,-154.8,-55,0,5,1,0","Rban_bow,Arm Low,-47.8,-148.4,-60,0,4,1,0","Rban_bow,Fist,-56.8,-139.2,-84,0,9,1,0","Rban_bow,Arm Up,3.2,-169,100,1,13,1,0","Rban_bow,Arm Low,20.2,-177.6,133,1,13,1,0","Rban_bow,Fist,36,-188.8,176,1,19,1,0","Rban_bow,Leg Up,-4.6,-100.2,-26.7,0,4,1,0","Rban_bow,Leg Low,-15,-70.2,2,0,10,1,0","Rban_bow,Foot,-18.4,-45.8,-34.6,0,13,1,0","Rban_bow,Leg Up,25.6,-119.6,63.7,0,12,1,0","Rban_bow,Leg Low,48.6,-101.4,17.5,0,13,1,0","Rban_bow,Foot,53.4,-75.8,-14.5,0,15,1,0","Shortbow,Base,15.6,-190.4,-175,0,21,1,0","Shortbow,Quiver,-21.6,-151.6,50,0,17,1,0","Rban_bow,Ear,-71,-203.2,99,0,0,1,0","Rban_bow,Ear_back,-55.4,-206.2,85,0,12,1,0","Rban_bow,Tail,-18.8,-121,-10,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatStandDie/2,"Rban_bow,Head,-28.6,-183.4,42,0,2,1,0","Rban_bow,Neck,-21.6,-168.8,43,0,4,1,0","Rban_bow,Body,0.6,-141.8,38.5,0,5,1,0","Rban_bow,Arm Up,-32.6,-149.8,-55,0,5,1,0","Rban_bow,Arm Low,-47.8,-143.4,-60,0,4,1,0","Rban_bow,Fist,-56.8,-134.2,-84,0,9,1,0","Rban_bow,Arm Up,3.2,-164,100,1,13,1,0","Rban_bow,Arm Low,20.2,-172.6,133,1,13,1,0","Rban_bow,Fist,36,-183.8,176,1,19,1,0","Rban_bow,Leg Up,-4.6,-95.2,-26.7,0,4,1,0","Rban_bow,Leg Low,-15,-65.2,2,0,10,1,0","Rban_bow,Foot,-18.4,-40.8,-34.6,0,13,1,0","Rban_bow,Leg Up,25.6,-114.6,63.7,0,12,1,0","Rban_bow,Leg Low,48.6,-96.4,17.5,0,13,1,0","Rban_bow,Foot,53.4,-70.8,-14.5,0,15,1,0","Shortbow,Base,15.6,-185.4,-175,0,21,1,0","Shortbow,Quiver,-21.6,-146.6,50,0,17,1,0","Rban_bow,Ear,-71,-198.2,99,0,0,1,0","Rban_bow,Ear_back,-55.4,-201.2,85,0,12,1,0","Rban_bow,Tail,-18.8,-116,-10,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/3,"Rban_bow,Head,-29.6,-140.6,42,0,2,1,0","Rban_bow,Neck,-22.6,-126,43,0,4,1,0","Rban_bow,Body,-0.4,-99,38.5,0,5,1,0","Rban_bow,Arm Up,-33.6,-107,-55,0,5,1,0","Rban_bow,Arm Low,-48.8,-100.6,-60,0,4,1,0","Rban_bow,Fist,-57.8,-91.4,-84,0,9,1,0","Rban_bow,Arm Up,2.2,-121.2,100,1,13,1,0","Rban_bow,Arm Low,19.2,-129.8,133,1,13,1,0","Rban_bow,Fist,35,-141,176,1,19,1,0","Rban_bow,Leg Up,-5.6,-52.4,-26.7,0,4,1,0","Rban_bow,Leg Low,-16,-22.4,2,0,10,1,0","Rban_bow,Foot,-19.4,2,-34.6,0,13,1,0","Rban_bow,Leg Up,24.6,-71.8,63.7,0,12,1,0","Rban_bow,Leg Low,47.6,-53.6,17.5,0,13,1,0","Rban_bow,Foot,52.4,-28,-14.5,0,15,1,0","Shortbow,Base,18,-137.2,-175,0,21,1,0","Shortbow,Quiver,-19.2,-98.4,50,0,17,1,0","Rban_bow,Ear,-72,-155.4,99,0,0,1,0","Rban_bow,Ear_back,-56.4,-158.4,85,0,12,1,0","Rban_bow,Tail,-19.8,-73.2,-10,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/4,"Rban_bow,Head,-38.6,-50.3,78,0,2,1,0","Rban_bow,Neck,-26.6,-45.7,62,0,4,1,0","Rban_bow,Body,8.6,-32.7,61.5,0,5,1,0","Rban_bow,Arm Up,-21.6,-25.7,-32,0,5,1,0","Rban_bow,Arm Low,-36,-14.3,-84,0,4,1,0","Rban_bow,Fist,-49.4,-4.3,-77,0,9,1,0","Rban_bow,Arm Up,-1.8,-52.9,123,1,13,1,0","Rban_bow,Arm Low,8.2,-68.5,169,1,13,1,0","Rban_bow,Fist,10,-83.7,210,1,19,1,0","Rban_bow,Leg Up,49.4,-16.1,111,0,4,1,0","Rban_bow,Leg Low,78.8,-24.3,100,0,10,1,0","Rban_bow,Foot,98,-23.7,69,0,13,1,0","Rban_bow,Leg Up,41.8,-31.5,153,0,12,1,0","Rban_bow,Leg Low,55.6,-56.1,147,0,13,1,0","Rban_bow,Foot,69.2,-74.1,120,0,15,1,0","Shortbow,Base,-7.8,-85.3,-175,0,21,1,0","Shortbow,Quiver,-61,-36.5,50,0,17,1,0","Rban_bow,Ear,-83.6,-37.8,131,0,0,1,0","Rban_bow,Ear_back,-68,-40.8,117,0,12,1,0","Rban_bow,Tail,14.8,3.7,20,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/5,"Rban_bow,Head,-41,-17.6,53,0,2,1,0","Rban_bow,Neck,-24.4,-10.8,88,0,4,1,0","Rban_bow,Body,11.4,-24.2,115.5,0,5,1,0","Rban_bow,Arm Up,-6.4,-21,8,0,5,1,0","Rban_bow,Arm Low,-4.6,-36,145,0,4,1,0","Rban_bow,Fist,4.8,-52.2,89,0,9,1,0","Rban_bow,Arm Up,-6.2,-28.4,144,1,13,1,0","Rban_bow,Arm Low,-2.5,-42.8,169,1,13,1,0","Rban_bow,Fist,-0.7,-58,210,1,19,1,0","Rban_bow,Leg Up,52.2,-38.6,127,0,4,1,0","Rban_bow,Leg Low,81.6,-51.8,107,0,10,1,0","Rban_bow,Foot,100.8,-53.2,69,0,13,1,0","Rban_bow,Leg Up,38.6,-46,176,0,12,1,0","Rban_bow,Leg Low,46.4,-74.6,147,0,13,1,0","Rban_bow,Foot,57,-92.6,120,0,15,1,0","Shortbow,Base,47,-93.8,-217,0,21,1,0","Shortbow,Quiver,-97.6,-19,94,0,17,1,0","Rban_bow,Ear,-86,-13.2,116,0,0,1,0","Rban_bow,Ear_back,-77.2,-30.8,92,0,12,1,0","Rban_bow,Tail,40.6,-9.8,119,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/6,"Rban_bow,Head,-48.2,-15.8,80,0,2,1,0","Rban_bow,Neck,-30.6,-11,88,0,4,1,0","Rban_bow,Body,5.2,-14.4,90.5,0,5,1,0","Rban_bow,Arm Up,-12.6,-5.2,94,0,5,1,0","Rban_bow,Arm Low,7,-8.4,145,0,4,1,0","Rban_bow,Fist,18,-18.8,89,0,5,1,0","Rban_bow,Arm Up,-12.4,-28.6,122,1,13,1,0","Rban_bow,Arm Low,-8.7,-32,151,1,13,1,0","Rban_bow,Fist,-2.9,-42.2,192,1,19,1,0","Rban_bow,Leg Up,54.6,-10.6,87,0,4,1,0","Rban_bow,Leg Low,88.2,-5.4,76,0,10,1,0","Rban_bow,Foot,111,-2.6,65,0,13,1,0","Rban_bow,Leg Up,37.4,-19.2,127,0,12,1,0","Rban_bow,Leg Low,57,-29.8,107,0,13,1,0","Rban_bow,Foot,74.6,-35.2,93,0,15,1,0","Shortbow,Base,85.8,-49.4,-217,0,21,1,0","Shortbow,Quiver,-103.8,-19.2,94,0,17,1,0","Rban_bow,Ear,-92.2,-7.4,128,0,0,1,0","Rban_bow,Ear_back,-83.4,-24,100,0,12,1,0","Rban_bow,Tail,39,1.4,123,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandDie/7,"Rban_bow,Head,-50.6,-14,80,0,2,1,0","Rban_bow,Neck,-33,-9.2,88,0,4,1,0","Rban_bow,Body,2.8,-12.6,90.5,0,5,1,0","Rban_bow,Arm Up,-15,-3.4,94,0,5,1,0","Rban_bow,Arm Low,4.6,-2.6,77,0,4,1,0","Rban_bow,Fist,20.6,-2,76,0,5,1,0","Rban_bow,Arm Up,-14.8,-14.8,93,1,13,1,0","Rban_bow,Arm Low,-3.1,-15.2,145,1,13,1,0","Rban_bow,Fist,19.8,-11.6,192,1,19,1,0","Rban_bow,Leg Up,52.2,-8.8,87,0,4,1,0","Rban_bow,Leg Low,85.8,-3.6,76,0,10,1,0","Rban_bow,Foot,108.6,-0.8,65,0,13,1,0","Rban_bow,Leg Up,37,-14.4,94,0,12,1,0","Rban_bow,Leg Low,67.4,-7.7,79,0,13,1,0","Rban_bow,Foot,85,-13.1,65,0,15,1,0","Shortbow,Base,103.4,-23.6,-266,0,21,1,0","Shortbow,Quiver,-106.2,-17.4,94,0,17,1,0","Rban_bow,Ear,-94.6,-5.6,128,0,0,1,0","Rban_bow,Ear_back,-85.8,-22.2,100,0,12,1,0","Rban_bow,Tail,36.6,3.2,123,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/0,"Rban_bow,Head,-16.6,-99.4,9,0,2,1,0","Rban_bow,Neck,-17.6,-81.8,11,0,4,1,0","Rban_bow,Body,-11.4,-50.8,13.5,0,5,1,0","Rban_bow,Arm Up,-36.6,-67.8,-32,0,5,1,0","Rban_bow,Arm Low,-47.8,-53.4,-30,0,4,1,0","Rban_bow,Fist,-52.8,-40.2,-48,0,9,1,0","Rban_bow,Arm Up,1.2,-73,57,1,13,1,0","Rban_bow,Arm Low,19.2,-67.6,102,1,13,1,0","Rban_bow,Fist,38,-67.8,137,1,19,1,0","Rban_bow,Leg Up,0.6,-21,113,0,4,1,0","Rban_bow,Leg Low,8.8,-12,-45,0,10,1,0","Rban_bow,Foot,2.6,0,36.4,0,13,1,0","Rban_bow,Leg Up,9.2,-25,101,0,12,1,0","Rban_bow,Leg Low,23.6,-18.2,-49,0,13,1,0","Rban_bow,Foot,19.6,-4.2,0.5,0,15,1,0","Shortbow,Base,22.2,-77.8,-193,0,21,1,0","Shortbow,Quiver,-25,-60,32,0,17,1,0","Rban_bow,Ear,-46,-134.2,66,0,0,1,0","Rban_bow,Ear_back,-30.4,-137.2,52,0,12,1,0","Rban_bow,Tail,-28.8,-17,-20,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/1,"Rban_bow,Head,-33.9,-99.7,25,0,2,1,0","Rban_bow,Neck,-27.9,-82.1,37,0,4,1,0","Rban_bow,Body,-12.7,-51.1,23.5,0,5,1,0","Rban_bow,Arm Up,-36.9,-66.1,-45,0,5,1,0","Rban_bow,Arm Low,-54.1,-52.7,-38,0,4,1,0","Rban_bow,Fist,-57.1,-40.5,-48,0,9,1,0","Rban_bow,Arm Up,-3.1,-73.3,81,1,13,1,0","Rban_bow,Arm Low,14.9,-77.9,113,1,13,1,0","Rban_bow,Fist,28.7,-85.1,152,1,19,1,0","Rban_bow,Leg Up,0.6,-17,100,0,4,1,0","Rban_bow,Leg Low,8.8,-8,-53,0,10,1,0","Rban_bow,Foot,-6.4,4,31.4,0,13,1,0","Rban_bow,Leg Up,9.2,-23,91,0,12,1,0","Rban_bow,Leg Low,23.6,-14.2,-63,0,13,1,0","Rban_bow,Foot,14.6,-0.2,-4.5,0,15,1,0","Shortbow,Base,13.9,-95.1,-177,0,21,1,0","Shortbow,Quiver,-29.3,-64.3,48,0,17,1,0","Rban_bow,Ear,-68.3,-128.5,76,0,0,1,0","Rban_bow,Ear_back,-52.7,-131.5,62,0,12,1,0","Rban_bow,Tail,-31.1,-16.3,-10,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/2,"Rban_bow,Head,-48.9,-89.8,42,0,2,1,0","Rban_bow,Neck,-41.9,-75.2,43,0,4,1,0","Rban_bow,Body,-19.7,-48.2,38.5,0,5,1,0","Rban_bow,Arm Up,-52.9,-56.2,-55,0,5,1,0","Rban_bow,Arm Low,-68.1,-49.8,-60,0,4,1,0","Rban_bow,Fist,-77.1,-40.6,-84,0,9,1,0","Rban_bow,Arm Up,-17.1,-70.4,100,1,13,1,0","Rban_bow,Arm Low,-0.1,-79,133,1,13,1,0","Rban_bow,Fist,15.7,-90.2,176,1,19,1,0","Rban_bow,Leg Up,0.6,-17,92,0,4,1,0","Rban_bow,Leg Low,8.8,-8,-61,0,10,1,0","Rban_bow,Foot,-6.4,4,23.4,0,13,1,0","Rban_bow,Leg Up,9.2,-23,83,0,12,1,0","Rban_bow,Leg Low,23.6,-14.2,-71,0,13,1,0","Rban_bow,Foot,14.6,-0.2,-12.5,0,15,1,0","Shortbow,Base,-1.1,-88.2,-165,0,21,1,0","Shortbow,Quiver,-44.3,-57.4,60,0,17,1,0","Rban_bow,Ear,-91.3,-104.6,99,0,0,1,0","Rban_bow,Ear_back,-75.7,-107.6,85,0,12,1,0","Rban_bow,Tail,-30.1,-15.4,-10,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
PresetCombatStandHeavyDamaged/3,"Rban_bow,Head,-35.3,-96.1,25,0,2,1,0","Rban_bow,Neck,-29.3,-78.5,37,0,4,1,0","Rban_bow,Body,-14.1,-47.5,23.5,0,5,1,0","Rban_bow,Arm Up,-38.3,-62.5,-45,0,5,1,0","Rban_bow,Arm Low,-55.5,-49.1,-38,0,4,1,0","Rban_bow,Fist,-58.5,-36.9,-48,0,9,1,0","Rban_bow,Arm Up,-4.5,-69.7,81,1,13,1,0","Rban_bow,Arm Low,13.5,-74.3,113,1,13,1,0","Rban_bow,Fist,27.3,-81.5,152,1,19,1,0","Rban_bow,Leg Up,0.6,-17,100,0,4,1,0","Rban_bow,Leg Low,8.8,-8,-53,0,10,1,0","Rban_bow,Foot,-6.4,4,31.4,0,13,1,0","Rban_bow,Leg Up,9.2,-23,91,0,12,1,0","Rban_bow,Leg Low,23.6,-14.2,-63,0,13,1,0","Rban_bow,Foot,14.6,-0.2,-4.5,0,15,1,0","Shortbow,Base,12.5,-91.5,-177,0,21,1,0","Shortbow,Quiver,-30.7,-60.7,48,0,17,1,0","Rban_bow,Ear,-69.7,-124.9,76,0,0,1,0","Rban_bow,Ear_back,-54.1,-127.9,62,0,12,1,0","Rban_bow,Tail,-31.1,-16.3,-10,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/4,"Rban_bow,Head,-16,-99.5,9,0,2,1,0","Rban_bow,Neck,-17,-81.9,11,0,4,1,0","Rban_bow,Body,-10.8,-50.9,13.5,0,5,1,0","Rban_bow,Arm Up,-36,-67.9,-32,0,5,1,0","Rban_bow,Arm Low,-47.2,-53.5,-30,0,4,1,0","Rban_bow,Fist,-52.2,-40.3,-48,0,9,1,0","Rban_bow,Arm Up,1.8,-73.1,57,1,13,1,0","Rban_bow,Arm Low,19.8,-67.7,102,1,13,1,0","Rban_bow,Fist,38.6,-67.9,137,1,19,1,0","Rban_bow,Leg Up,0.6,-21,113,0,4,1,0","Rban_bow,Leg Low,8.8,-12,-45,0,10,1,0","Rban_bow,Foot,2.6,0,36.4,0,13,1,0","Rban_bow,Leg Up,9.2,-25,101,0,12,1,0","Rban_bow,Leg Low,23.6,-18.2,-49,0,13,1,0","Rban_bow,Foot,19.6,-4.2,0.5,0,15,1,0","Shortbow,Base,22.8,-77.9,-193,0,21,1,0","Shortbow,Quiver,-24.4,-60.1,32,0,17,1,0","Rban_bow,Ear,-45.4,-136.3,66,0,0,1,0","Rban_bow,Ear_back,-29.8,-139.3,52,0,12,1,0","Rban_bow,Tail,-29.2,-17.1,-20,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandHeavyDamaged/5,"Rban_bow,Head,8.8,-101.8,-15,0,2,1,0","Rban_bow,Neck,4.8,-84.2,-9,0,4,1,0","Rban_bow,Body,-1,-43.2,-10.5,0,5,1,0","Rban_bow,Arm Up,-13.2,-73.2,-42,0,5,1,0","Rban_bow,Arm Low,-26.4,-58.8,-30,0,4,1,0","Rban_bow,Fist,-31.4,-45.6,-48,0,9,1,0","Rban_bow,Arm Up,18.6,-73.4,47,1,13,1,0","Rban_bow,Arm Low,36.6,-68,92,1,13,1,0","Rban_bow,Fist,55.4,-68.2,127,1,19,1,0","Rban_bow,Leg Up,0.6,-21,113,0,4,1,0","Rban_bow,Leg Low,8.8,-12,-45,0,10,1,0","Rban_bow,Foot,2.6,0,36.4,0,13,1,0","Rban_bow,Leg Up,9.2,-25,101,0,12,1,0","Rban_bow,Leg Low,23.6,-18.2,-49,0,13,1,0","Rban_bow,Foot,19.6,-4.2,0.5,0,15,1,0","Shortbow,Base,39,-75.2,-182,0,21,1,0","Shortbow,Quiver,-8.6,-62.4,19,0,17,1,0","Rban_bow,Ear,-15.6,-137.6,62,0,0,1,0","Rban_bow,Ear_back,0,-140.6,48,0,12,1,0","Rban_bow,Tail,-30.4,-17.4,-5,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandIdle/0,"Rban_bow,Head,8.8,-101.8,-15,0,2,1,0","Rban_bow,Neck,4.8,-84.2,-9,0,4,1,0","Rban_bow,Body,-1,-43.2,-10.5,0,5,1,0","Rban_bow,Arm Up,-13.2,-73.2,-42,0,5,1,0","Rban_bow,Arm Low,-26.4,-58.8,-30,0,4,1,0","Rban_bow,Fist,-31.4,-45.6,-48,0,9,1,0","Rban_bow,Arm Up,18.6,-73.4,47,1,13,1,0","Rban_bow,Arm Low,36.6,-68,92,1,13,1,0","Rban_bow,Fist,55.4,-68.2,127,1,19,1,0","Rban_bow,Leg Up,0.6,-21,113,0,4,1,0","Rban_bow,Leg Low,8.8,-12,-45,0,10,1,0","Rban_bow,Foot,2.6,0,36.4,0,13,1,0","Rban_bow,Leg Up,9.2,-25,101,0,12,1,0","Rban_bow,Leg Low,23.6,-18.2,-49,0,13,1,0","Rban_bow,Foot,19.6,-4.2,0.5,0,15,1,0","Shortbow,Base,39,-75.2,-182,0,21,1,0","Shortbow,Quiver,-8.6,-62.4,19,0,17,1,0","Rban_bow,Ear,-15.6,-137.6,62,0,0,1,0","Rban_bow,Ear_back,0,-140.6,48,0,12,1,0","Rban_bow,Tail,-30.4,-17.4,-5,0,2,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,
